Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.4927,0.5318,0.4927,0.5041,,,0.2173,0.2215
DecisionTree,GaussianCopula,0.3921,0.3862,0.3921,0.3871,,,0.0075,0.0076
DecisionTree,Original,0.6893,0.6977,0.6893,0.6931,,,0.5,0.5004
DecisionTree,TVAE,0.5921,0.6213,0.5921,0.5991,,,0.3594,0.3647
KNN,CTGAN,0.4508,0.4672,0.4508,0.4548,,,0.1315,0.1329
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156
KNN,Original,0.5774,0.5653,0.5774,0.5703,,,0.3,0.3007
KNN,TVAE,0.5322,0.5021,0.5322,0.512,,,0.2047,0.2076
LogisticRegression,CTGAN,0.6023,0.5571,0.6023,0.5762,,,0.3309,0.3346
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,,,0.5716,0.5815
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,,,0.4655,0.4682
RandomForest,CTGAN,0.6181,0.6213,0.6181,0.6179,,,0.3851,0.3865
RandomForest,GaussianCopula,0.5299,0.4666,0.5299,0.4826,,,0.1742,0.1849
RandomForest,Original,0.7898,0.7819,0.7898,0.7791,,,0.6449,0.6521
RandomForest,TVAE,0.6847,0.6779,0.6847,0.6739,,,0.485,0.4912
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407
