Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.4994,0.5119,0.4994,0.5049,N/A,N/A,0.1908,0.1912
DecisionTree,GaussianCopula,0.4056,0.3893,0.4056,0.3929,N/A,N/A,0.0142,0.0145
DecisionTree,Original,0.7085,0.7112,0.7085,0.7098,N/A,N/A,0.5278,0.5279
DecisionTree,TVAE,0.5989,0.6247,0.5989,0.6057,N/A,N/A,0.3691,0.3734
KNN,CTGAN,0.5028,0.4417,0.5028,0.4609,N/A,N/A,0.1245,0.1306
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,N/A,N/A,-0.0151,-0.0156
KNN,Original,0.5774,0.5653,0.5774,0.5703,N/A,N/A,0.3,0.3007
KNN,TVAE,0.5322,0.5021,0.5322,0.512,N/A,N/A,0.2047,0.2076
LogisticRegression,CTGAN,0.6554,0.5927,0.6554,0.5924,N/A,N/A,0.383,0.4116
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,N/A,N/A,0.2419,0.29
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,N/A,N/A,0.5716,0.5815
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,N/A,N/A,0.4655,0.4682
RandomForest,CTGAN,0.6746,0.6448,0.6746,0.6071,N/A,N/A,0.4166,0.4488
RandomForest,GaussianCopula,0.5333,0.4733,0.5333,0.4723,N/A,N/A,0.1696,0.1892
RandomForest,Original,0.7706,0.7567,0.7706,0.7573,N/A,N/A,0.6124,0.619
RandomForest,TVAE,0.6847,0.6779,0.6847,0.6742,N/A,N/A,0.4838,0.4895
SVM,CTGAN,0.5006,0.3752,0.5006,0.3634,N/A,N/A,0.0189,0.0407
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,N/A,N/A,0.0,0.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,N/A,N/A,0.0189,0.0407
