Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.5797,0.6221,0.5797,0.5953,,,0.3451,0.3492
DecisionTree,CTGAN,0.4689,0.5245,0.4689,0.4893,,,0.1854,0.1895
DecisionTree,GaussianCopula,0.391,0.3969,0.391,0.3914,,,0.0235,0.0237
DecisionTree,Original,0.6893,0.693,0.6893,0.691,,,0.4977,0.4978
DecisionTree,TVAE,0.5898,0.625,0.5898,0.598,,,0.359,0.3655
KNN,Anonymous,0.6689,0.6544,0.6689,0.6605,,,0.4515,0.4526
KNN,CTGAN,0.4169,0.4403,0.4169,0.42,,,0.0899,0.092
KNN,GaussianCopula,0.3672,0.3743,0.3672,0.3621,,,-0.0151,-0.0156
KNN,Original,0.5774,0.5653,0.5774,0.5703,,,0.3,0.3007
KNN,TVAE,0.5322,0.5021,0.5322,0.512,,,0.2047,0.2076
LogisticRegression,Anonymous,0.7469,0.7427,0.7469,0.7439,,,0.5838,0.5848
LogisticRegression,CTGAN,0.5989,0.5845,0.5989,0.5913,,,0.3413,0.3417
LogisticRegression,GaussianCopula,0.5864,0.5722,0.5864,0.5237,,,0.2419,0.29
LogisticRegression,Original,0.7492,0.7199,0.7492,0.7239,,,0.5716,0.5815
LogisticRegression,TVAE,0.6791,0.6556,0.6791,0.6639,,,0.4655,0.4682
RandomForest,Anonymous,0.7458,0.7255,0.7458,0.7288,,,0.5734,0.5784
RandomForest,CTGAN,0.6,0.598,0.6,0.5977,,,0.3536,0.3545
RandomForest,GaussianCopula,0.5571,0.5085,0.5571,0.502,,,0.2107,0.2335
RandomForest,Original,0.765,0.7502,0.765,0.7509,,,0.6023,0.6094
RandomForest,TVAE,0.6791,0.6717,0.6791,0.6675,,,0.4742,0.4805
SVM,Anonymous,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,CTGAN,0.4881,0.3693,0.4881,0.3799,,,0.014,0.0214
SVM,GaussianCopula,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,Original,0.4994,0.2494,0.4994,0.3327,,,0.0,0.0
SVM,TVAE,0.5006,0.3752,0.5006,0.3634,,,0.0189,0.0407
