epochs,Dataset,Model,AUC-ROC
20.0,CTGAN,LogisticRegression,0.5303599999999999
40.0,CTGAN,LogisticRegression,0.47026
40.0,TVAE,LogisticRegression,0.63318
60.0,CTGAN,LogisticRegression,0.5391600000000001
60.0,TVAE,LogisticRegression,0.7357400000000001
80.0,CTGAN,LogisticRegression,0.558
80.0,TVAE,LogisticRegression,0.7111
100.0,CTGAN,LogisticRegression,0.41036
100.0,TVAE,LogisticRegression,0.73628
120.0,CTGAN,LogisticRegression,0.48382
120.0,TVAE,LogisticRegression,0.7400599999999999
150.0,CTGAN,LogisticRegression,0.5817
150.0,TVAE,LogisticRegression,0.75152
200.0,CTGAN,LogisticRegression,0.52386
200.0,TVAE,LogisticRegression,0.78638
250.0,CTGAN,LogisticRegression,0.67012
250.0,TVAE,LogisticRegression,0.78474
300.0,CTGAN,LogisticRegression,0.7473062500000001
300.0,GaussianCopula,LogisticRegression,0.69011875
300.0,TVAE,LogisticRegression,0.7723125
400.0,CTGAN,LogisticRegression,0.75706
400.0,TVAE,LogisticRegression,0.77684
500.0,CTGAN,LogisticRegression,0.7725799999999999
500.0,TVAE,LogisticRegression,0.80612
750.0,CTGAN,LogisticRegression,0.7603
750.0,TVAE,LogisticRegression,0.82354
1000.0,CTGAN,LogisticRegression,0.7519600000000001
1000.0,TVAE,LogisticRegression,0.8230599999999999
