epochs,Dataset,Model,Precision
20.0,CTGAN,DecisionTree,0.3962
20.0,TVAE,DecisionTree,0.37822
40.0,CTGAN,DecisionTree,0.37078
40.0,TVAE,DecisionTree,0.57786
60.0,CTGAN,DecisionTree,0.38688
60.0,TVAE,DecisionTree,0.5849
80.0,CTGAN,DecisionTree,0.39634
80.0,TVAE,DecisionTree,0.54366
100.0,CTGAN,DecisionTree,0.39808000000000004
100.0,TVAE,DecisionTree,0.60148
120.0,CTGAN,DecisionTree,0.39468000000000003
120.0,TVAE,DecisionTree,0.60976
150.0,CTGAN,DecisionTree,0.39708
150.0,TVAE,DecisionTree,0.5959800000000001
200.0,CTGAN,DecisionTree,0.38634
200.0,TVAE,DecisionTree,0.62122
250.0,CTGAN,DecisionTree,0.4133
250.0,TVAE,DecisionTree,0.58962
300.0,CTGAN,DecisionTree,0.51488125
300.0,GaussianCopula,DecisionTree,0.4719125
300.0,TVAE,DecisionTree,0.6152375
400.0,CTGAN,DecisionTree,0.53124
400.0,TVAE,DecisionTree,0.6213
500.0,CTGAN,DecisionTree,0.52568
500.0,TVAE,DecisionTree,0.62508
750.0,CTGAN,DecisionTree,0.55018
750.0,TVAE,DecisionTree,0.62282
1000.0,CTGAN,DecisionTree,0.5201399999999999
1000.0,TVAE,DecisionTree,0.62662
