Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.738,0.7079,0.738,0.7136,0.8606,0.6236,0.5542,0.5624,94,3.04,0.3,10.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5158,0.4321,0.5158,0.4692,0.5768,1.0603,0.1648,0.173,94,3.04,0.3,10.0,2.0,0.5,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5527,0.553,0.5527,0.4459,0.7243,0.9547,0.1345,0.2247,94,3.04,0.3,10.0,2.0,0.5,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6913,0.6452,0.6913,0.6451,0.7847,1.1224,0.472,0.4876,94,3.04,0.3,10.0,2.0,0.5,300,8,3096
LogisticRegression,Anonymous,0.7387,0.7085,0.7387,0.7142,0.8605,0.6238,0.5554,0.5636,104,3.36,0.3,20.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.4992,0.2492,0.4992,0.3325,0.669,1.0031,0.0,0.0,104,3.36,0.3,20.0,2.0,0.5,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5316,0.5046,0.5316,0.4185,0.661,0.9762,0.0934,0.1583,104,3.36,0.3,20.0,2.0,0.5,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6672,0.6499,0.6672,0.6471,0.7814,1.367,0.4517,0.4615,104,3.36,0.3,20.0,2.0,0.5,300,8,3096
LogisticRegression,Anonymous,0.738,0.7079,0.738,0.7136,0.8604,0.6241,0.5542,0.5624,73,2.36,0.3,2.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.488,0.3001,0.488,0.3326,0.4735,1.0625,-0.016,-0.0547,73,2.36,0.3,2.0,2.0,0.5,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5023,0.3689,0.5023,0.3474,0.6231,0.9923,0.0221,0.0598,73,2.36,0.3,2.0,2.0,0.5,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6318,0.6064,0.6318,0.6117,0.7465,1.6174,0.3787,0.3832,73,2.36,0.3,2.0,2.0,0.5,300,8,3096
LogisticRegression,Anonymous,0.7395,0.7115,0.7395,0.7167,0.8597,0.6294,0.5569,0.5649,79,2.55,0.3,5.0,2.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.497,0.2489,0.497,0.3317,0.5939,1.0336,-0.0026,-0.0213,79,2.55,0.3,5.0,2.0,0.5,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5422,0.4941,0.5422,0.4291,0.6868,0.9645,0.1103,0.1928,79,2.55,0.3,5.0,2.0,0.5,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6355,0.6042,0.6355,0.6092,0.7484,1.6795,0.3846,0.3912,79,2.55,0.3,5.0,2.0,0.5,300,8,3096
