Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.7568,0.7412,0.7568,0.7439,0.8709,0.7967,0.5904,0.5958,94,3.04,0.3,10.0,2.0,0.08,,,
RandomForest,CTGAN_HYBRID,0.494,0.3702,0.494,0.3377,0.5973,1.0725,-0.0034,-0.0117,94,3.04,0.3,10.0,2.0,0.08,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.5339,0.4632,0.5339,0.4554,0.6287,0.9803,0.1296,0.1605,94,3.04,0.3,10.0,2.0,0.08,300,8,3096
RandomForest,TVAE_HYBRID,0.6114,0.5941,0.6114,0.5737,0.7471,2.3293,0.367,0.4006,94,3.04,0.3,10.0,2.0,0.08,300,8,3096
RandomForest,Anonymous,0.7523,0.735,0.7523,0.7376,0.8699,0.8958,0.5813,0.5877,104,3.36,0.3,20.0,2.0,0.08,,,
RandomForest,CTGAN_HYBRID,0.4992,0.3947,0.4992,0.3589,0.5411,1.0592,0.0143,0.034,104,3.36,0.3,20.0,2.0,0.08,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.4782,0.3881,0.4782,0.386,0.5713,1.0176,0.0185,0.0245,104,3.36,0.3,20.0,2.0,0.08,300,8,3096
RandomForest,TVAE_HYBRID,0.6242,0.6327,0.6242,0.5938,0.7835,2.1432,0.3895,0.4223,104,3.36,0.3,20.0,2.0,0.08,300,8,3096
RandomForest,Anonymous,0.756,0.7383,0.756,0.742,0.8703,0.8255,0.589,0.5942,73,2.36,0.3,2.0,2.0,0.08,,,
RandomForest,CTGAN_HYBRID,0.4819,0.2872,0.4819,0.3317,0.5389,1.265,-0.0239,-0.0646,73,2.36,0.3,2.0,2.0,0.08,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.5068,0.4235,0.5068,0.4132,0.6441,0.976,0.0708,0.0938,73,2.36,0.3,2.0,2.0,0.08,300,8,3096
RandomForest,TVAE_HYBRID,0.6032,0.5827,0.6032,0.5611,0.7577,2.6354,0.3541,0.3942,73,2.36,0.3,2.0,2.0,0.08,300,8,3096
RandomForest,Anonymous,0.7545,0.7362,0.7545,0.7388,0.8707,0.8514,0.5848,0.5912,79,2.55,0.3,5.0,2.0,0.08,,,
RandomForest,CTGAN_HYBRID,0.4872,0.3839,0.4872,0.3318,0.5603,1.0692,-0.012,-0.0388,79,2.55,0.3,5.0,2.0,0.08,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.5392,0.4607,0.5392,0.4728,0.6306,1.0095,0.1595,0.1787,79,2.55,0.3,5.0,2.0,0.08,300,8,3096
RandomForest,TVAE_HYBRID,0.5941,0.6376,0.5941,0.5771,0.795,1.8517,0.3541,0.3884,79,2.55,0.3,5.0,2.0,0.08,300,8,3096
