Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6657,0.6684,0.6657,0.667,0.7147,11.5856,0.4586,0.4586,51,1.65,0.3,10.0,2.0,0.02,,,
DecisionTree,CTGAN_HYBRID,0.3471,0.3329,0.3471,0.3385,0.4617,23.5315,-0.0837,-0.0843,51,1.65,0.3,10.0,2.0,0.02,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.3727,0.3763,0.3727,0.3742,0.4974,22.6087,-0.0116,-0.0116,51,1.65,0.3,10.0,2.0,0.02,300,8,3096
DecisionTree,TVAE_HYBRID,0.5595,0.592,0.5595,0.5551,0.6591,14.0813,0.3094,0.3236,51,1.65,0.3,10.0,2.0,0.02,300,8,3096
DecisionTree,Anonymous,0.6672,0.6722,0.6672,0.6696,0.7183,11.5047,0.4619,0.462,61,1.97,0.3,20.0,2.0,0.02,,,
DecisionTree,CTGAN_HYBRID,0.3946,0.3717,0.3946,0.3767,0.4875,21.8216,-0.0313,-0.0319,61,1.97,0.3,20.0,2.0,0.02,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.3855,0.3982,0.3855,0.3896,0.509,22.1473,0.0227,0.0229,61,1.97,0.3,20.0,2.0,0.02,300,8,3096
DecisionTree,TVAE_HYBRID,0.5956,0.5915,0.5956,0.5758,0.6553,13.7489,0.342,0.357,61,1.97,0.3,20.0,2.0,0.02,300,8,3096
DecisionTree,Anonymous,0.6717,0.6754,0.6717,0.6735,0.7248,11.3688,0.4691,0.4692,55,1.78,0.3,2.0,2.0,0.02,,,
DecisionTree,CTGAN_HYBRID,0.3095,0.3375,0.3095,0.3195,0.4659,24.8886,-0.07,-0.071,55,1.78,0.3,2.0,2.0,0.02,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.4217,0.4454,0.4217,0.4297,0.5423,20.8445,0.0879,0.0889,55,1.78,0.3,2.0,2.0,0.02,300,8,3096
DecisionTree,TVAE_HYBRID,0.5452,0.5476,0.5452,0.5274,0.6241,15.6907,0.2672,0.2806,55,1.78,0.3,2.0,2.0,0.02,300,8,3096
DecisionTree,Anonymous,0.6672,0.6668,0.6672,0.6669,0.7185,11.5317,0.4595,0.4596,60,1.94,0.3,5.0,2.0,0.02,,,
DecisionTree,CTGAN_HYBRID,0.384,0.3759,0.384,0.3795,0.4916,22.2016,-0.0136,-0.0136,60,1.94,0.3,5.0,2.0,0.02,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.3599,0.3968,0.3599,0.3681,0.5097,23.0701,0.0176,0.0181,60,1.94,0.3,5.0,2.0,0.02,300,8,3096
DecisionTree,TVAE_HYBRID,0.5776,0.6321,0.5776,0.5789,0.6811,13.9419,0.3412,0.3603,60,1.94,0.3,5.0,2.0,0.02,300,8,3096
