Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6965,0.6837,0.6965,0.6883,0.804,3.4723,0.4955,0.4972,94,3.04,0.3,10.0,2.0,0.04,,,
KNN,CTGAN_HYBRID,0.4096,0.4119,0.4096,0.4106,0.5307,5.1981,0.044,0.0441,94,3.04,0.3,10.0,2.0,0.04,300,8,3096
KNN,GaussianCopula_HYBRID,0.4639,0.4494,0.4639,0.4512,0.5384,6.2646,0.0985,0.0996,94,3.04,0.3,10.0,2.0,0.04,300,8,3096
KNN,TVAE_HYBRID,0.6009,0.5735,0.6009,0.5793,0.6854,9.2522,0.3354,0.3407,94,3.04,0.3,10.0,2.0,0.04,300,8,3096
KNN,Anonymous,0.6965,0.6837,0.6965,0.6882,0.8043,3.4713,0.4953,0.4971,104,3.36,0.3,20.0,2.0,0.04,,,
KNN,CTGAN_HYBRID,0.4518,0.4304,0.4518,0.4378,0.5443,6.4573,0.0801,0.081,104,3.36,0.3,20.0,2.0,0.04,300,8,3096
KNN,GaussianCopula_HYBRID,0.4729,0.4386,0.4729,0.45,0.565,5.3598,0.0977,0.0997,104,3.36,0.3,20.0,2.0,0.04,300,8,3096
KNN,TVAE_HYBRID,0.5505,0.5468,0.5505,0.5421,0.6781,8.2691,0.2773,0.2815,104,3.36,0.3,20.0,2.0,0.04,300,8,3096
KNN,Anonymous,0.6898,0.6767,0.6898,0.6815,0.8014,3.5569,0.4846,0.4862,73,2.36,0.3,2.0,2.0,0.04,,,
KNN,CTGAN_HYBRID,0.4849,0.4181,0.4849,0.3831,0.5354,8.8625,0.0274,0.0399,73,2.36,0.3,2.0,2.0,0.04,300,8,3096
KNN,GaussianCopula_HYBRID,0.4465,0.4071,0.4465,0.4191,0.5139,6.3439,0.0443,0.0457,73,2.36,0.3,2.0,2.0,0.04,300,8,3096
KNN,TVAE_HYBRID,0.6002,0.5939,0.6002,0.5869,0.7057,8.2113,0.3474,0.355,73,2.36,0.3,2.0,2.0,0.04,300,8,3096
KNN,Anonymous,0.6928,0.6801,0.6928,0.6848,0.8016,3.5803,0.4898,0.4913,79,2.55,0.3,5.0,2.0,0.04,,,
KNN,CTGAN_HYBRID,0.3133,0.3334,0.3133,0.2361,0.474,7.0639,-0.0359,-0.056,79,2.55,0.3,5.0,2.0,0.04,300,8,3096
KNN,GaussianCopula_HYBRID,0.427,0.4082,0.427,0.4158,0.5361,5.0038,0.04,0.0403,79,2.55,0.3,5.0,2.0,0.04,300,8,3096
KNN,TVAE_HYBRID,0.5745,0.5699,0.5745,0.5621,0.6901,8.9919,0.312,0.3195,79,2.55,0.3,5.0,2.0,0.04,300,8,3096
