Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.738,0.7079,0.738,0.7136,0.8606,0.6236,0.5542,0.5624,94,3.04,0.3,10.0,2.0,0.4,,,
LogisticRegression,CTGAN_HYBRID,0.5008,0.5712,0.5008,0.3358,0.6304,1.0084,0.0035,0.0412,94,3.04,0.3,10.0,2.0,0.4,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5527,0.553,0.5527,0.4459,0.7243,0.9547,0.1345,0.2247,94,3.04,0.3,10.0,2.0,0.4,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6627,0.6386,0.6627,0.6401,0.791,1.1102,0.4381,0.4456,94,3.04,0.3,10.0,2.0,0.4,300,8,3096
LogisticRegression,Anonymous,0.7387,0.7085,0.7387,0.7142,0.8605,0.6238,0.5554,0.5636,104,3.36,0.3,20.0,2.0,0.4,,,
LogisticRegression,CTGAN_HYBRID,0.5437,0.5323,0.5437,0.5053,0.6715,1.0232,0.2637,0.2966,104,3.36,0.3,20.0,2.0,0.4,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5316,0.5046,0.5316,0.4185,0.661,0.9762,0.0934,0.1583,104,3.36,0.3,20.0,2.0,0.4,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6468,0.615,0.6468,0.6014,0.7839,1.2096,0.4123,0.4389,104,3.36,0.3,20.0,2.0,0.4,300,8,3096
LogisticRegression,Anonymous,0.738,0.7079,0.738,0.7136,0.8604,0.6241,0.5542,0.5624,73,2.36,0.3,2.0,2.0,0.4,,,
LogisticRegression,CTGAN_HYBRID,0.3223,0.4028,0.3223,0.1607,0.6034,1.1625,0.0001,0.0012,73,2.36,0.3,2.0,2.0,0.4,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5023,0.3689,0.5023,0.3474,0.6231,0.9923,0.0221,0.0598,73,2.36,0.3,2.0,2.0,0.4,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6619,0.6322,0.6619,0.6229,0.7898,1.4269,0.4344,0.4527,73,2.36,0.3,2.0,2.0,0.4,300,8,3096
LogisticRegression,Anonymous,0.7395,0.7115,0.7395,0.7167,0.8597,0.6294,0.5569,0.5649,79,2.55,0.3,5.0,2.0,0.4,,,
LogisticRegression,CTGAN_HYBRID,0.3381,0.5471,0.3381,0.1921,0.6375,1.058,0.0199,0.0826,79,2.55,0.3,5.0,2.0,0.4,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5422,0.4941,0.5422,0.4291,0.6868,0.9645,0.1103,0.1928,79,2.55,0.3,5.0,2.0,0.4,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6536,0.6266,0.6536,0.6268,0.7834,1.156,0.4161,0.424,79,2.55,0.3,5.0,2.0,0.4,300,8,3096
