Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6822,0.687,0.6822,0.6844,0.735,10.9618,0.4862,0.4863,94,3.04,0.3,10.0,2.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.3735,0.4161,0.3735,0.3809,0.519,22.5816,0.0409,0.0424,94,3.04,0.3,10.0,2.0,0.2,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.4172,0.4224,0.4172,0.4196,0.5296,21.0074,0.0608,0.0609,94,3.04,0.3,10.0,2.0,0.2,300,8,3096
DecisionTree,TVAE_HYBRID,0.4872,0.5015,0.4872,0.4839,0.5937,16.9584,0.1927,0.1976,94,3.04,0.3,10.0,2.0,0.2,300,8,3096
DecisionTree,Anonymous,0.683,0.6824,0.683,0.6826,0.7324,10.8548,0.485,0.4851,104,3.36,0.3,20.0,2.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.3803,0.391,0.3803,0.381,0.5025,22.3373,0.0088,0.009,104,3.36,0.3,20.0,2.0,0.2,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.4217,0.4227,0.4217,0.422,0.5261,20.7918,0.061,0.061,104,3.36,0.3,20.0,2.0,0.2,300,8,3096
DecisionTree,TVAE_HYBRID,0.5753,0.6047,0.5753,0.5575,0.6366,14.7515,0.3204,0.3469,104,3.36,0.3,20.0,2.0,0.2,300,8,3096
DecisionTree,Anonymous,0.683,0.684,0.683,0.6831,0.733,10.9351,0.4864,0.4867,73,2.36,0.3,2.0,2.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.4179,0.3881,0.4179,0.3976,0.5037,20.9802,0.0089,0.0091,73,2.36,0.3,2.0,2.0,0.2,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.4285,0.4376,0.4285,0.432,0.5363,20.6003,0.0826,0.0829,73,2.36,0.3,2.0,2.0,0.2,300,8,3096
DecisionTree,TVAE_HYBRID,0.5316,0.5547,0.5316,0.5129,0.619,15.9092,0.2559,0.2772,73,2.36,0.3,2.0,2.0,0.2,300,8,3096
DecisionTree,Anonymous,0.6724,0.6789,0.6724,0.6754,0.7272,11.2884,0.4719,0.4721,79,2.55,0.3,5.0,2.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.2681,0.2856,0.2681,0.2515,0.4458,26.3813,-0.123,-0.1391,79,2.55,0.3,5.0,2.0,0.2,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.4578,0.4432,0.4578,0.4494,0.5435,19.5417,0.1024,0.1027,79,2.55,0.3,5.0,2.0,0.2,300,8,3096
DecisionTree,TVAE_HYBRID,0.6069,0.6131,0.6069,0.594,0.6789,12.7427,0.3718,0.3853,79,2.55,0.3,5.0,2.0,0.2,300,8,3096
