Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6762,0.6817,0.6762,0.6788,0.7298,11.1257,0.4769,0.477,94,3.04,0.3,10.0,2.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.3599,0.407,0.3599,0.3713,0.5163,23.0701,0.0316,0.0327,94,3.04,0.3,10.0,2.0,0.05,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.4473,0.4533,0.4473,0.4501,0.5526,19.9217,0.1098,0.1098,94,3.04,0.3,10.0,2.0,0.05,300,8,3096
DecisionTree,TVAE_HYBRID,0.5791,0.6009,0.5791,0.5705,0.6512,14.7912,0.3353,0.3499,94,3.04,0.3,10.0,2.0,0.05,300,8,3096
DecisionTree,Anonymous,0.6687,0.6721,0.6687,0.6702,0.7222,11.4237,0.4643,0.4644,104,3.36,0.3,20.0,2.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.3449,0.387,0.3449,0.3554,0.5048,23.6129,0.0046,0.0047,104,3.36,0.3,20.0,2.0,0.05,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.4021,0.4032,0.4021,0.4023,0.5096,21.5241,0.0284,0.0284,104,3.36,0.3,20.0,2.0,0.05,300,8,3096
DecisionTree,TVAE_HYBRID,0.5392,0.5687,0.5392,0.5274,0.6213,15.5584,0.2709,0.2896,104,3.36,0.3,20.0,2.0,0.05,300,8,3096
DecisionTree,Anonymous,0.68,0.682,0.68,0.681,0.7312,10.9638,0.4813,0.4813,73,2.36,0.3,2.0,2.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.3554,0.3987,0.3554,0.369,0.5054,23.233,0.0134,0.0137,73,2.36,0.3,2.0,2.0,0.05,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.4014,0.4124,0.4014,0.4061,0.5186,21.5773,0.0419,0.042,73,2.36,0.3,2.0,2.0,0.05,300,8,3096
DecisionTree,TVAE_HYBRID,0.5693,0.5745,0.5693,0.5495,0.6503,13.9697,0.3066,0.3246,73,2.36,0.3,2.0,2.0,0.05,300,8,3096
DecisionTree,Anonymous,0.6807,0.6843,0.6807,0.6824,0.7316,11.0165,0.4835,0.4836,79,2.55,0.3,5.0,2.0,0.05,,,
DecisionTree,CTGAN_HYBRID,0.4322,0.425,0.4322,0.4234,0.5282,20.4645,0.0565,0.0572,79,2.55,0.3,5.0,2.0,0.05,300,8,3096
DecisionTree,GaussianCopula_HYBRID,0.4398,0.4308,0.4398,0.435,0.5314,20.1931,0.0797,0.0798,79,2.55,0.3,5.0,2.0,0.05,300,8,3096
DecisionTree,TVAE_HYBRID,0.5941,0.6383,0.5941,0.6019,0.682,13.2483,0.3703,0.3799,79,2.55,0.3,5.0,2.0,0.05,300,8,3096
