Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6965,0.6837,0.6965,0.6883,0.804,3.4723,0.4955,0.4972,94,3.04,0.3,10.0,2.0,0.08,,,
KNN,CTGAN_HYBRID,0.5,0.4428,0.5,0.4006,0.5571,8.7913,0.0559,0.0804,94,3.04,0.3,10.0,2.0,0.08,300,8,3096
KNN,GaussianCopula_HYBRID,0.4639,0.4494,0.4639,0.4512,0.5384,6.2646,0.0985,0.0996,94,3.04,0.3,10.0,2.0,0.08,300,8,3096
KNN,TVAE_HYBRID,0.5971,0.5613,0.5971,0.5711,0.6864,8.647,0.3336,0.341,94,3.04,0.3,10.0,2.0,0.08,300,8,3096
KNN,Anonymous,0.6965,0.6837,0.6965,0.6882,0.8043,3.4713,0.4953,0.4971,104,3.36,0.3,20.0,2.0,0.08,,,
KNN,CTGAN_HYBRID,0.448,0.4084,0.448,0.414,0.5293,5.4128,0.0298,0.0312,104,3.36,0.3,20.0,2.0,0.08,300,8,3096
KNN,GaussianCopula_HYBRID,0.4729,0.4386,0.4729,0.45,0.565,5.3598,0.0977,0.0997,104,3.36,0.3,20.0,2.0,0.08,300,8,3096
KNN,TVAE_HYBRID,0.5188,0.5326,0.5188,0.5082,0.6381,12.2289,0.2329,0.2438,104,3.36,0.3,20.0,2.0,0.08,300,8,3096
KNN,Anonymous,0.6898,0.6767,0.6898,0.6815,0.8014,3.5569,0.4846,0.4862,73,2.36,0.3,2.0,2.0,0.08,,,
KNN,CTGAN_HYBRID,0.4699,0.3894,0.4699,0.4051,0.4988,7.5885,0.0287,0.0328,73,2.36,0.3,2.0,2.0,0.08,300,8,3096
KNN,GaussianCopula_HYBRID,0.4465,0.4071,0.4465,0.4191,0.5139,6.3439,0.0443,0.0457,73,2.36,0.3,2.0,2.0,0.08,300,8,3096
KNN,TVAE_HYBRID,0.5708,0.5473,0.5708,0.5445,0.6648,9.587,0.2837,0.2928,73,2.36,0.3,2.0,2.0,0.08,300,8,3096
KNN,Anonymous,0.6928,0.6801,0.6928,0.6848,0.8016,3.5803,0.4898,0.4913,79,2.55,0.3,5.0,2.0,0.08,,,
KNN,CTGAN_HYBRID,0.4578,0.4148,0.4578,0.3975,0.5224,6.9833,0.0267,0.0312,79,2.55,0.3,5.0,2.0,0.08,300,8,3096
KNN,GaussianCopula_HYBRID,0.427,0.4082,0.427,0.4158,0.5361,5.0038,0.04,0.0403,79,2.55,0.3,5.0,2.0,0.08,300,8,3096
KNN,TVAE_HYBRID,0.5505,0.5611,0.5505,0.5293,0.6808,9.7612,0.2758,0.2946,79,2.55,0.3,5.0,2.0,0.08,300,8,3096
