Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.738,0.7079,0.738,0.7136,0.8606,0.6236,0.5542,0.5624,94,3.04,0.3,10.0,2.0,0.04,,,
LogisticRegression,CTGAN_HYBRID,0.4992,0.2492,0.4992,0.3325,0.6475,1.013,0.0,0.0,94,3.04,0.3,10.0,2.0,0.04,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5527,0.553,0.5527,0.4459,0.7243,0.9547,0.1345,0.2247,94,3.04,0.3,10.0,2.0,0.04,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6619,0.6275,0.6619,0.6286,0.7861,1.0616,0.4275,0.4376,94,3.04,0.3,10.0,2.0,0.04,300,8,3096
LogisticRegression,Anonymous,0.7387,0.7085,0.7387,0.7142,0.8605,0.6238,0.5554,0.5636,104,3.36,0.3,20.0,2.0,0.04,,,
LogisticRegression,CTGAN_HYBRID,0.4797,0.3598,0.4797,0.3354,0.5304,1.0411,-0.0247,-0.0594,104,3.36,0.3,20.0,2.0,0.04,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5316,0.5046,0.5316,0.4185,0.661,0.9762,0.0934,0.1583,104,3.36,0.3,20.0,2.0,0.04,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6589,0.6205,0.6589,0.6218,0.7691,1.2272,0.4257,0.4386,104,3.36,0.3,20.0,2.0,0.04,300,8,3096
LogisticRegression,Anonymous,0.738,0.7079,0.738,0.7136,0.8604,0.6241,0.5542,0.5624,73,2.36,0.3,2.0,2.0,0.04,,,
LogisticRegression,CTGAN_HYBRID,0.4992,0.2492,0.4992,0.3325,0.4423,1.1256,0.0,0.0,73,2.36,0.3,2.0,2.0,0.04,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5023,0.3689,0.5023,0.3474,0.6231,0.9923,0.0221,0.0598,73,2.36,0.3,2.0,2.0,0.04,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6529,0.6394,0.6529,0.6425,0.7716,1.2989,0.4294,0.4322,73,2.36,0.3,2.0,2.0,0.04,300,8,3096
LogisticRegression,Anonymous,0.7395,0.7115,0.7395,0.7167,0.8597,0.6294,0.5569,0.5649,79,2.55,0.3,5.0,2.0,0.04,,,
LogisticRegression,CTGAN_HYBRID,0.3238,0.6029,0.3238,0.1612,0.5377,1.118,0.0027,0.0353,79,2.55,0.3,5.0,2.0,0.04,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5422,0.4941,0.5422,0.4291,0.6868,0.9645,0.1103,0.1928,79,2.55,0.3,5.0,2.0,0.04,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6694,0.6324,0.6694,0.6355,0.7897,1.1631,0.4485,0.4622,79,2.55,0.3,5.0,2.0,0.04,300,8,3096
