Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.3426,0.3663,0.3426,0.3472,0.4864,23.6944,-0.0283,-0.029,,,0.3,,,,40.0,10.0,30960
DecisionTree,TVAE,0.5723,0.4947,0.5723,0.5164,0.5992,15.4163,0.2459,0.2594,,,0.3,,,,40.0,10.0,30960
DecisionTree,CTGAN,0.3788,0.3991,0.3788,0.3853,0.5088,22.3916,0.023,0.0233,,,0.3,,,,40.0,1.0,3096
DecisionTree,TVAE,0.6483,0.5303,0.6483,0.583,0.6524,12.675,0.3782,0.4006,,,0.3,,,,40.0,1.0,3096
DecisionTree,CTGAN,0.3193,0.3427,0.3193,0.3245,0.4707,24.5357,-0.0618,-0.0632,,,0.3,,,,40.0,2.0,6192
DecisionTree,TVAE,0.6551,0.7169,0.6551,0.5918,0.6613,12.4307,0.396,0.4168,,,0.3,,,,40.0,2.0,6192
DecisionTree,CTGAN,0.3818,0.3887,0.3818,0.3821,0.5035,22.283,0.0104,0.0105,,,0.3,,,,40.0,3.0,9288
DecisionTree,TVAE,0.5633,0.469,0.5633,0.5107,0.6012,15.742,0.2457,0.2584,,,0.3,,,,40.0,3.0,9288
DecisionTree,CTGAN,0.3389,0.3571,0.3389,0.3428,0.4807,23.8301,-0.0374,-0.0381,,,0.3,,,,40.0,5.0,15480
DecisionTree,TVAE,0.6002,0.6784,0.6002,0.5459,0.6291,14.412,0.311,0.3268,,,0.3,,,,40.0,5.0,15480
