Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.5286,0.4961,0.5286,0.5053,0.6147,6.7064,0.2032,0.2065,,,0.3,,,,400.0,10.0,30960
KNN,TVAE,0.5768,0.5419,0.5768,0.5404,0.6717,7.2149,0.2761,0.2847,,,0.3,,,,400.0,10.0,30960
KNN,CTGAN,0.4947,0.4565,0.4947,0.4689,0.5789,7.0347,0.1453,0.1482,,,0.3,,,,400.0,1.0,3096
KNN,TVAE,0.5444,0.4931,0.5444,0.5093,0.6344,7.0159,0.2237,0.2298,,,0.3,,,,400.0,1.0,3096
KNN,CTGAN,0.4895,0.452,0.4895,0.4634,0.5795,5.8593,0.1385,0.1415,,,0.3,,,,400.0,2.0,6192
KNN,TVAE,0.552,0.5143,0.552,0.5207,0.6534,6.7051,0.2384,0.2445,,,0.3,,,,400.0,2.0,6192
KNN,CTGAN,0.5,0.4679,0.5,0.4791,0.5979,7.0205,0.1653,0.1679,,,0.3,,,,400.0,3.0,9288
KNN,TVAE,0.564,0.5255,0.564,0.5294,0.667,6.6146,0.2543,0.2616,,,0.3,,,,400.0,3.0,9288
KNN,CTGAN,0.509,0.4965,0.509,0.4992,0.6103,6.485,0.1934,0.1951,,,0.3,,,,400.0,5.0,15480
KNN,TVAE,0.5625,0.5161,0.5625,0.528,0.6674,6.8425,0.256,0.2628,,,0.3,,,,400.0,5.0,15480
