Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.3306,0.3874,0.3306,0.1818,0.5233,1.1125,0.0074,0.0305,,,0.3,,,,120.0,10.0,30960
LogisticRegression,TVAE,0.6227,0.592,0.6227,0.5971,0.7367,1.9169,0.3627,0.3689,,,0.3,,,,120.0,10.0,30960
LogisticRegression,CTGAN,0.3306,0.3167,0.3306,0.2168,0.4858,1.121,-0.0098,-0.0206,,,0.3,,,,120.0,1.0,3096
LogisticRegression,TVAE,0.6348,0.6035,0.6348,0.607,0.7424,1.821,0.3833,0.3907,,,0.3,,,,120.0,1.0,3096
LogisticRegression,CTGAN,0.3178,0.2232,0.3178,0.1647,0.4365,1.1404,-0.0113,-0.0472,,,0.3,,,,120.0,2.0,6192
LogisticRegression,TVAE,0.6258,0.5954,0.6258,0.6022,0.745,1.8148,0.3726,0.3782,,,0.3,,,,120.0,2.0,6192
LogisticRegression,CTGAN,0.3238,0.3079,0.3238,0.1693,0.5074,1.116,-0.001,-0.0048,,,0.3,,,,120.0,3.0,9288
LogisticRegression,TVAE,0.619,0.593,0.619,0.5993,0.7379,1.9057,0.3635,0.3681,,,0.3,,,,120.0,3.0,9288
LogisticRegression,CTGAN,0.3215,0.2283,0.3215,0.1579,0.4661,1.1395,-0.0008,-0.0088,,,0.3,,,,120.0,5.0,15480
LogisticRegression,TVAE,0.6288,0.6014,0.6288,0.6036,0.7383,1.8812,0.3733,0.38,,,0.3,,,,120.0,5.0,15480
