Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.5045,0.4154,0.5045,0.3785,0.593,1.0191,0.0351,0.0661,,,0.3,,,,250.0,10.0,30960
RandomForest,TVAE,0.6702,0.6623,0.6702,0.6598,0.8243,1.167,0.4586,0.4636,,,0.3,,,,250.0,10.0,30960
RandomForest,CTGAN,0.5158,0.4984,0.5158,0.384,0.6145,0.997,0.0497,0.1105,,,0.3,,,,250.0,1.0,3096
RandomForest,TVAE,0.6785,0.6623,0.6785,0.6597,0.8232,1.0016,0.4689,0.4776,,,0.3,,,,250.0,1.0,3096
RandomForest,CTGAN,0.5105,0.4941,0.5105,0.3734,0.6144,0.9989,0.0363,0.0871,,,0.3,,,,250.0,2.0,6192
RandomForest,TVAE,0.689,0.6728,0.689,0.6703,0.826,1.0643,0.4847,0.4927,,,0.3,,,,250.0,2.0,6192
RandomForest,CTGAN,0.5068,0.4428,0.5068,0.3843,0.6118,1.0077,0.042,0.0768,,,0.3,,,,250.0,3.0,9288
RandomForest,TVAE,0.689,0.6799,0.689,0.677,0.8295,1.0086,0.489,0.4949,,,0.3,,,,250.0,3.0,9288
RandomForest,CTGAN,0.5203,0.4775,0.5203,0.3958,0.5915,1.0127,0.0656,0.1255,,,0.3,,,,250.0,5.0,15480
RandomForest,TVAE,0.6694,0.6634,0.6694,0.6603,0.8234,1.1937,0.4592,0.4642,,,0.3,,,,250.0,5.0,15480
