Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.3961,0.4019,0.3961,0.3988,0.5134,21.7673,0.0275,0.0275,,,0.3,,,,60.0,10.0,30960
DecisionTree,TVAE,0.5926,0.5822,0.5926,0.5832,0.6494,14.6834,0.3274,0.3297,,,0.3,,,,60.0,10.0,30960
DecisionTree,CTGAN,0.4202,0.4144,0.4202,0.417,0.5228,20.8988,0.0491,0.0491,,,0.3,,,,60.0,1.0,3096
DecisionTree,TVAE,0.5301,0.5592,0.5301,0.534,0.6233,16.9362,0.2546,0.2613,,,0.3,,,,60.0,1.0,3096
DecisionTree,CTGAN,0.366,0.3794,0.366,0.3691,0.497,22.853,-0.0067,-0.0068,,,0.3,,,,60.0,2.0,6192
DecisionTree,TVAE,0.6039,0.596,0.6039,0.5923,0.6568,14.2763,0.3501,0.3555,,,0.3,,,,60.0,2.0,6192
DecisionTree,CTGAN,0.3645,0.3712,0.3645,0.3675,0.4881,22.9073,-0.0222,-0.0222,,,0.3,,,,60.0,3.0,9288
DecisionTree,TVAE,0.5986,0.587,0.5986,0.5908,0.6535,14.4663,0.337,0.3382,,,0.3,,,,60.0,3.0,9288
DecisionTree,CTGAN,0.3411,0.3675,0.3411,0.3515,0.4837,23.7486,-0.0293,-0.0296,,,0.3,,,,60.0,5.0,15480
DecisionTree,TVAE,0.6062,0.6001,0.6062,0.599,0.6633,14.1949,0.3567,0.3596,,,0.3,,,,60.0,5.0,15480
