Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.3855,0.3761,0.3855,0.3798,0.519,4.8472,-0.0182,-0.0183,,,0.3,,,,200.0,10.0,30960
KNN,TVAE,0.5497,0.5025,0.5497,0.5166,0.6521,8.7616,0.2366,0.2427,,,0.3,,,,200.0,10.0,30960
KNN,CTGAN,0.3441,0.3745,0.3441,0.2932,0.4947,6.6003,-0.0023,-0.003,,,0.3,,,,200.0,1.0,3096
KNN,TVAE,0.5422,0.5002,0.5422,0.5055,0.6409,7.5786,0.2079,0.2147,,,0.3,,,,200.0,1.0,3096
KNN,CTGAN,0.4255,0.4072,0.4255,0.4132,0.4997,6.5736,0.0362,0.0365,,,0.3,,,,200.0,2.0,6192
KNN,TVAE,0.5474,0.5042,0.5474,0.5128,0.6469,7.6656,0.2298,0.2366,,,0.3,,,,200.0,2.0,6192
KNN,CTGAN,0.4134,0.3912,0.4134,0.3982,0.5061,5.7409,0.0112,0.0114,,,0.3,,,,200.0,3.0,9288
KNN,TVAE,0.5753,0.5378,0.5753,0.5399,0.6494,8.765,0.2788,0.2875,,,0.3,,,,200.0,3.0,9288
KNN,CTGAN,0.3863,0.3808,0.3863,0.3822,0.4968,5.1782,-0.0032,-0.0032,,,0.3,,,,200.0,5.0,15480
KNN,TVAE,0.5565,0.5175,0.5565,0.5229,0.652,8.1953,0.2496,0.2571,,,0.3,,,,200.0,5.0,15480
