Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.5098,0.4703,0.5098,0.3637,0.5067,1.0205,0.0291,0.0877,,,0.3,,,,60.0,10.0,30960
LogisticRegression,TVAE,0.5979,0.5651,0.5979,0.5693,0.7062,2.7785,0.326,0.3341,,,0.3,,,,60.0,10.0,30960
LogisticRegression,CTGAN,0.5572,0.4846,0.5572,0.4809,0.6203,0.9996,0.1753,0.2148,,,0.3,,,,60.0,1.0,3096
LogisticRegression,TVAE,0.6182,0.6034,0.6182,0.5968,0.7285,2.6743,0.3733,0.3844,,,0.3,,,,60.0,1.0,3096
LogisticRegression,CTGAN,0.4985,0.3899,0.4985,0.366,0.503,1.0311,0.0175,0.0361,,,0.3,,,,60.0,2.0,6192
LogisticRegression,TVAE,0.6295,0.611,0.6295,0.5982,0.7425,2.4081,0.384,0.3995,,,0.3,,,,60.0,2.0,6192
LogisticRegression,CTGAN,0.5377,0.5211,0.5377,0.4177,0.6067,0.9989,0.0946,0.1898,,,0.3,,,,60.0,3.0,9288
LogisticRegression,TVAE,0.622,0.6107,0.622,0.5926,0.7475,2.1594,0.3748,0.3915,,,0.3,,,,60.0,3.0,9288
LogisticRegression,CTGAN,0.4789,0.3864,0.4789,0.3364,0.4591,1.0366,-0.0249,-0.0578,,,0.3,,,,60.0,5.0,15480
LogisticRegression,TVAE,0.616,0.5965,0.616,0.5866,0.754,2.3678,0.3671,0.3829,,,0.3,,,,60.0,5.0,15480
