Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.433,0.3751,0.433,0.3951,0.5099,1.0674,0.0467,0.05,,,0.3,,,,150.0,10.0,30960
RandomForest,TVAE,0.6679,0.6526,0.6679,0.6373,0.81,1.3624,0.4499,0.4687,,,0.3,,,,150.0,10.0,30960
RandomForest,CTGAN,0.4827,0.4063,0.4827,0.4388,0.547,1.0404,0.114,0.1202,,,0.3,,,,150.0,1.0,3096
RandomForest,TVAE,0.68,0.6592,0.68,0.6419,0.8199,1.129,0.4643,0.4839,,,0.3,,,,150.0,1.0,3096
RandomForest,CTGAN,0.4699,0.4012,0.4699,0.4292,0.5257,1.0546,0.0978,0.1035,,,0.3,,,,150.0,2.0,6192
RandomForest,TVAE,0.6755,0.6676,0.6755,0.6371,0.8147,1.3088,0.459,0.4827,,,0.3,,,,150.0,2.0,6192
RandomForest,CTGAN,0.4556,0.3855,0.4556,0.4157,0.5209,1.0513,0.0662,0.0698,,,0.3,,,,150.0,3.0,9288
RandomForest,TVAE,0.6664,0.649,0.6664,0.6326,0.8088,1.3254,0.4453,0.4649,,,0.3,,,,150.0,3.0,9288
RandomForest,CTGAN,0.4676,0.4607,0.4676,0.4291,0.5582,1.0405,0.1156,0.1261,,,0.3,,,,150.0,5.0,15480
RandomForest,TVAE,0.6807,0.6634,0.6807,0.6478,0.814,1.3529,0.468,0.4861,,,0.3,,,,150.0,5.0,15480
