Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.366,0.4042,0.366,0.368,0.5049,22.853,0.0183,0.0192,,,0.3,,,,120.0,10.0,30960
DecisionTree,TVAE,0.5971,0.6131,0.5971,0.596,0.6653,14.5206,0.356,0.363,,,0.3,,,,120.0,10.0,30960
DecisionTree,CTGAN,0.3517,0.3792,0.3517,0.3404,0.498,23.3687,-0.0027,-0.0029,,,0.3,,,,120.0,1.0,3096
DecisionTree,TVAE,0.631,0.6295,0.631,0.6208,0.6802,13.2992,0.4017,0.4098,,,0.3,,,,120.0,1.0,3096
DecisionTree,CTGAN,0.3358,0.3703,0.3358,0.3421,0.4879,23.9386,-0.0278,-0.0289,,,0.3,,,,120.0,2.0,6192
DecisionTree,TVAE,0.619,0.6305,0.619,0.6169,0.6799,13.7335,0.389,0.3954,,,0.3,,,,120.0,2.0,6192
DecisionTree,CTGAN,0.3682,0.3892,0.3682,0.3611,0.5068,22.7716,0.0152,0.0161,,,0.3,,,,120.0,3.0,9288
DecisionTree,TVAE,0.5851,0.6091,0.5851,0.588,0.6557,14.9549,0.3416,0.3482,,,0.3,,,,120.0,3.0,9288
DecisionTree,CTGAN,0.3901,0.4305,0.3901,0.3881,0.5269,21.9845,0.0583,0.0622,,,0.3,,,,120.0,5.0,15480
DecisionTree,TVAE,0.5422,0.5666,0.5422,0.5355,0.6241,16.5019,0.2704,0.2835,,,0.3,,,,120.0,5.0,15480
