Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.4044,0.4053,0.4044,0.3873,0.5233,5.156,0.0414,0.0442,,,0.3,,,,150.0,10.0,30960
KNN,TVAE,0.5813,0.5166,0.5813,0.5367,0.6448,9.0689,0.2668,0.2779,,,0.3,,,,150.0,10.0,30960
KNN,CTGAN,0.3901,0.3942,0.3901,0.3856,0.513,5.1411,0.0148,0.0151,,,0.3,,,,150.0,1.0,3096
KNN,TVAE,0.5655,0.5103,0.5655,0.5131,0.637,7.6068,0.2222,0.239,,,0.3,,,,150.0,1.0,3096
KNN,CTGAN,0.3825,0.3851,0.3825,0.3717,0.5079,5.4771,0.003,0.0031,,,0.3,,,,150.0,2.0,6192
KNN,TVAE,0.5685,0.4888,0.5685,0.5153,0.6421,8.2074,0.2328,0.2474,,,0.3,,,,150.0,2.0,6192
KNN,CTGAN,0.381,0.3902,0.381,0.3754,0.5045,5.3159,0.0056,0.0059,,,0.3,,,,150.0,3.0,9288
KNN,TVAE,0.5738,0.5078,0.5738,0.5237,0.6458,9.0438,0.245,0.2589,,,0.3,,,,150.0,3.0,9288
KNN,CTGAN,0.3818,0.393,0.3818,0.3664,0.5041,5.6167,0.0077,0.0083,,,0.3,,,,150.0,5.0,15480
KNN,TVAE,0.5851,0.5302,0.5851,0.5392,0.657,8.5425,0.2688,0.2821,,,0.3,,,,150.0,5.0,15480
