Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.634,0.6207,0.634,0.6265,0.7459,0.8537,0.3983,0.399,,,0.3,,,,750.0,10.0,30960
LogisticRegression,TVAE,0.7093,0.6988,0.7093,0.6997,0.8287,0.8719,0.525,0.5288,,,0.3,,,,750.0,10.0,30960
LogisticRegression,CTGAN,0.6333,0.6384,0.6333,0.6354,0.7707,0.8462,0.4086,0.4089,,,0.3,,,,750.0,1.0,3096
LogisticRegression,TVAE,0.7018,0.6795,0.7018,0.6868,0.8198,0.8417,0.5066,0.5098,,,0.3,,,,750.0,1.0,3096
LogisticRegression,CTGAN,0.6581,0.6231,0.6581,0.6138,0.7596,0.8131,0.4008,0.418,,,0.3,,,,750.0,2.0,6192
LogisticRegression,TVAE,0.7003,0.6939,0.7003,0.6938,0.8136,1.0645,0.5119,0.5147,,,0.3,,,,750.0,2.0,6192
LogisticRegression,CTGAN,0.625,0.6443,0.625,0.6331,0.7681,0.85,0.404,0.4053,,,0.3,,,,750.0,3.0,9288
LogisticRegression,TVAE,0.6988,0.6981,0.6988,0.6966,0.8256,0.944,0.5128,0.5144,,,0.3,,,,750.0,3.0,9288
LogisticRegression,CTGAN,0.6401,0.6338,0.6401,0.6365,0.7572,0.8421,0.4128,0.4132,,,0.3,,,,750.0,5.0,15480
LogisticRegression,TVAE,0.7116,0.7059,0.7116,0.7061,0.83,0.8601,0.5311,0.5334,,,0.3,,,,750.0,5.0,15480
