Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.4819,0.5444,0.4819,0.3878,0.5356,1.0244,0.0146,0.0199,,,0.3,,,,200.0,10.0,30960
RandomForest,TVAE,0.6905,0.6663,0.6905,0.6578,0.8315,1.1938,0.4857,0.5035,,,0.3,,,,200.0,10.0,30960
RandomForest,CTGAN,0.3283,0.3736,0.3283,0.2223,0.4956,1.1317,-0.014,-0.0283,,,0.3,,,,200.0,1.0,3096
RandomForest,TVAE,0.6988,0.6758,0.6988,0.6803,0.8307,0.9664,0.5014,0.5071,,,0.3,,,,200.0,1.0,3096
RandomForest,CTGAN,0.4819,0.3612,0.4819,0.38,0.5067,1.0404,0.0083,0.012,,,0.3,,,,200.0,2.0,6192
RandomForest,TVAE,0.6777,0.6464,0.6777,0.6364,0.8274,1.23,0.4614,0.4839,,,0.3,,,,200.0,2.0,6192
RandomForest,CTGAN,0.503,0.3965,0.503,0.3889,0.5378,1.0279,0.0371,0.0614,,,0.3,,,,200.0,3.0,9288
RandomForest,TVAE,0.6928,0.6629,0.6928,0.6528,0.831,1.0954,0.4846,0.504,,,0.3,,,,200.0,3.0,9288
RandomForest,CTGAN,0.4895,0.3691,0.4895,0.3819,0.5086,1.041,0.0184,0.0278,,,0.3,,,,200.0,5.0,15480
RandomForest,TVAE,0.677,0.6517,0.677,0.6407,0.8304,1.2761,0.4627,0.4833,,,0.3,,,,200.0,5.0,15480
