Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.4812,0.5382,0.4812,0.4997,0.6014,18.7004,0.209,0.2144,,,0.3,,,,750.0,10.0,30960
DecisionTree,TVAE,0.6107,0.623,0.6107,0.6132,0.6808,14.0321,0.3791,0.3819,,,0.3,,,,750.0,10.0,30960
DecisionTree,CTGAN,0.5467,0.5856,0.5467,0.5613,0.6432,16.3391,0.294,0.2974,,,0.3,,,,750.0,1.0,3096
DecisionTree,TVAE,0.6175,0.6196,0.6175,0.6181,0.6793,13.7878,0.3811,0.3815,,,0.3,,,,750.0,1.0,3096
DecisionTree,CTGAN,0.5248,0.5493,0.5248,0.534,0.6233,17.1262,0.2532,0.255,,,0.3,,,,750.0,2.0,6192
DecisionTree,TVAE,0.5964,0.6094,0.5964,0.6002,0.671,14.5477,0.3566,0.3586,,,0.3,,,,750.0,2.0,6192
DecisionTree,CTGAN,0.4872,0.5339,0.4872,0.5034,0.6015,18.4832,0.2098,0.2136,,,0.3,,,,750.0,3.0,9288
DecisionTree,TVAE,0.6333,0.6478,0.6333,0.6383,0.7005,13.2178,0.4159,0.4177,,,0.3,,,,750.0,3.0,9288
DecisionTree,CTGAN,0.4857,0.5439,0.4857,0.5046,0.608,18.5375,0.2165,0.2223,,,0.3,,,,750.0,5.0,15480
DecisionTree,TVAE,0.5971,0.6143,0.5971,0.6001,0.673,14.5206,0.3615,0.3655,,,0.3,,,,750.0,5.0,15480
