Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.4962,0.4781,0.4962,0.4824,0.5996,5.7998,0.1654,0.1673,,,0.3,,,,300.0,10.0,30960
KNN,GaussianCopula,0.4202,0.4181,0.4202,0.4182,0.5251,4.902,0.0552,0.0554,,,0.3,,,,300.0,10.0,30960
KNN,TVAE,0.5452,0.5211,0.5452,0.5132,0.6489,8.1878,0.2361,0.245,,,0.3,,,,300.0,10.0,30960
KNN,CTGAN,0.4797,0.4701,0.4797,0.4681,0.5766,7.2102,0.1495,0.1523,,,0.3,,,,300.0,1.0,3096
KNN,GaussianCopula,0.4066,0.4105,0.4066,0.4055,0.509,5.9577,0.0425,0.0429,,,0.3,,,,300.0,1.0,3096
KNN,TVAE,0.5542,0.5198,0.5542,0.516,0.6464,7.4997,0.2243,0.2326,,,0.3,,,,300.0,1.0,3096
KNN,CTGAN,0.503,0.4896,0.503,0.4886,0.5922,5.6942,0.1849,0.1887,,,0.3,,,,300.0,2.0,6192
KNN,GaussianCopula,0.4224,0.416,0.4224,0.4189,0.529,5.6024,0.0528,0.0529,,,0.3,,,,300.0,2.0,6192
KNN,TVAE,0.561,0.5174,0.561,0.5292,0.6452,7.1081,0.2481,0.2539,,,0.3,,,,300.0,2.0,6192
KNN,CTGAN,0.4857,0.4781,0.4857,0.4739,0.5995,6.3053,0.1611,0.1645,,,0.3,,,,300.0,3.0,9288
KNN,GaussianCopula,0.3863,0.3926,0.3863,0.3886,0.5136,5.7504,0.0113,0.0114,,,0.3,,,,300.0,3.0,9288
KNN,TVAE,0.5587,0.5158,0.5587,0.5233,0.6514,7.0738,0.2514,0.2593,,,0.3,,,,300.0,3.0,9288
KNN,CTGAN,0.5045,0.4829,0.5045,0.4888,0.6055,6.0668,0.176,0.1782,,,0.3,,,,300.0,5.0,15480
KNN,GaussianCopula,0.384,0.3804,0.384,0.3811,0.4984,4.3832,-0.0051,-0.0051,,,0.3,,,,300.0,5.0,15480
KNN,TVAE,0.561,0.5172,0.561,0.5255,0.6565,7.5443,0.2455,0.2525,,,0.3,,,,300.0,5.0,15480
KNN,CTGAN,0.4556,0.4435,0.4556,0.4469,0.5535,6.7631,0.1045,0.1052,,,0.05,,,,300,8,3096
KNN,GaussianCopula,0.4066,0.4105,0.4066,0.4055,0.509,5.9577,0.0425,0.0429,,,0.05,,,,300,8,3096
KNN,TVAE,0.5542,0.5198,0.5542,0.516,0.6464,7.4997,0.2243,0.2326,,,0.05,,,,300,8,3096
KNN,CTGAN,0.4533,0.4315,0.4533,0.4375,0.5534,5.6764,0.0831,0.0842,,,0.1,,,,300,8,3096
KNN,GaussianCopula,0.4066,0.4105,0.4066,0.4055,0.509,5.9577,0.0425,0.0429,,,0.1,,,,300,8,3096
KNN,TVAE,0.5542,0.5198,0.5542,0.516,0.6464,7.4997,0.2243,0.2326,,,0.1,,,,300,8,3096
KNN,CTGAN,0.497,0.4767,0.497,0.4839,0.5814,5.9009,0.1673,0.1686,,,0.15,,,,300,8,3096
KNN,GaussianCopula,0.4066,0.4105,0.4066,0.4055,0.509,5.9577,0.0425,0.0429,,,0.15,,,,300,8,3096
