Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.6672,0.5768,0.6672,0.6047,0.7667,0.8121,0.4209,0.4411,,,0.3,,,,300.0,10.0,30960
LogisticRegression,GaussianCopula,0.5542,0.5063,0.5542,0.4952,0.6939,0.9381,0.1955,0.2216,,,0.3,,,,300.0,10.0,30960
LogisticRegression,TVAE,0.6822,0.6515,0.6822,0.6482,0.7949,1.1764,0.4621,0.4736,,,0.3,,,,300.0,10.0,30960
LogisticRegression,CTGAN,0.6694,0.5984,0.6694,0.6181,0.7609,0.8146,0.4278,0.4431,,,0.3,,,,300.0,1.0,3096
LogisticRegression,GaussianCopula,0.5663,0.531,0.5663,0.5214,0.6882,0.9612,0.2266,0.2475,,,0.3,,,,300.0,1.0,3096
LogisticRegression,TVAE,0.6732,0.6497,0.6732,0.6448,0.7642,1.5156,0.4505,0.4606,,,0.3,,,,300.0,1.0,3096
LogisticRegression,CTGAN,0.6739,0.6449,0.6739,0.611,0.7618,0.8205,0.4329,0.4542,,,0.3,,,,300.0,2.0,6192
LogisticRegression,GaussianCopula,0.5474,0.56,0.5474,0.4742,0.6996,0.9639,0.1686,0.2143,,,0.3,,,,300.0,2.0,6192
LogisticRegression,TVAE,0.6777,0.6544,0.6777,0.652,0.788,1.3175,0.4588,0.4674,,,0.3,,,,300.0,2.0,6192
LogisticRegression,CTGAN,0.6694,0.584,0.6694,0.6069,0.7727,0.8074,0.427,0.4475,,,0.3,,,,300.0,3.0,9288
LogisticRegression,GaussianCopula,0.561,0.5412,0.561,0.5076,0.6973,0.9559,0.2078,0.2388,,,0.3,,,,300.0,3.0,9288
LogisticRegression,TVAE,0.6807,0.6524,0.6807,0.6516,0.7901,1.205,0.4616,0.471,,,0.3,,,,300.0,3.0,9288
LogisticRegression,CTGAN,0.6611,0.575,0.6611,0.5987,0.7728,0.8081,0.4089,0.429,,,0.3,,,,300.0,5.0,15480
LogisticRegression,GaussianCopula,0.5595,0.5167,0.5595,0.5014,0.6999,0.9373,0.2019,0.2297,,,0.3,,,,300.0,5.0,15480
LogisticRegression,TVAE,0.6898,0.6629,0.6898,0.6607,0.7989,1.1342,0.4766,0.4863,,,0.3,,,,300.0,5.0,15480
LogisticRegression,CTGAN,0.6468,0.5689,0.6468,0.5987,0.7502,0.8269,0.3888,0.4014,,,0.05,,,,300,8,3096
LogisticRegression,GaussianCopula,0.5663,0.531,0.5663,0.5214,0.6882,0.9612,0.2266,0.2475,,,0.05,,,,300,8,3096
LogisticRegression,TVAE,0.6732,0.6497,0.6732,0.6448,0.7642,1.5156,0.4505,0.4606,,,0.05,,,,300,8,3096
LogisticRegression,CTGAN,0.6755,0.6456,0.6755,0.6103,0.7778,0.7958,0.4182,0.4503,,,0.1,,,,300,8,3096
LogisticRegression,GaussianCopula,0.5663,0.531,0.5663,0.5214,0.6882,0.9612,0.2266,0.2475,,,0.1,,,,300,8,3096
LogisticRegression,TVAE,0.6732,0.6497,0.6732,0.6448,0.7642,1.5156,0.4505,0.4606,,,0.1,,,,300,8,3096
LogisticRegression,CTGAN,0.6438,0.5674,0.6438,0.5907,0.7348,0.8391,0.3875,0.4028,,,0.15,,,,300,8,3096
LogisticRegression,GaussianCopula,0.5663,0.531,0.5663,0.5214,0.6882,0.9612,0.2266,0.2475,,,0.15,,,,300,8,3096
LogisticRegression,TVAE,0.6732,0.6497,0.6732,0.6448,0.7642,1.5156,0.4505,0.4606,,,0.15,,,,300,8,3096
LogisticRegression,CTGAN,0.6491,0.5985,0.6491,0.5938,0.7245,0.855,0.3937,0.411,,,0.2,,,,300,8,3096
LogisticRegression,GaussianCopula,0.5663,0.531,0.5663,0.5214,0.6882,0.9612,0.2266,0.2475,,,0.2,,,,300,8,3096
LogisticRegression,TVAE,0.6732,0.6497,0.6732,0.6448,0.7642,1.5156,0.4505,0.4606,,,0.2,,,,300,8,3096
LogisticRegression,CTGAN,0.6416,0.554,0.6416,0.5899,0.7537,0.8393,0.3863,0.4,,,0.25,,,,300,8,3096
LogisticRegression,GaussianCopula,0.5663,0.531,0.5663,0.5214,0.6882,0.9612,0.2266,0.2475,,,0.25,,,,300,8,3096
LogisticRegression,TVAE,0.6732,0.6497,0.6732,0.6448,0.7642,1.5156,0.4505,0.4606,,,0.25,,,,300,8,3096
LogisticRegression,CTGAN,0.6702,0.6278,0.6702,0.6082,0.765,0.8179,0.4227,0.4439,,,0.3,,,,300,8,3096
LogisticRegression,GaussianCopula,0.5663,0.531,0.5663,0.5214,0.6882,0.9612,0.2266,0.2475,,,0.3,,,,300,8,3096
LogisticRegression,TVAE,0.6732,0.6497,0.6732,0.6448,0.7642,1.5156,0.4505,0.4606,,,0.3,,,,300,8,3096
LogisticRegression,CTGAN,0.6521,0.5588,0.6521,0.5978,0.7504,0.84,0.3972,0.4119,,,0.35,,,,300,8,3096
LogisticRegression,GaussianCopula,0.5663,0.531,0.5663,0.5214,0.6882,0.9612,0.2266,0.2475,,,0.35,,,,300,8,3096
LogisticRegression,TVAE,0.6732,0.6497,0.6732,0.6448,0.7642,1.5156,0.4505,0.4606,,,0.35,,,,300,8,3096
LogisticRegression,CTGAN,0.6604,0.5936,0.6604,0.6021,0.745,0.8329,0.4077,0.4264,,,0.4,,,,300,8,3096
LogisticRegression,GaussianCopula,0.5663,0.531,0.5663,0.5214,0.6882,0.9612,0.2266,0.2475,,,0.4,,,,300,8,3096
LogisticRegression,TVAE,0.6732,0.6497,0.6732,0.6448,0.7642,1.5156,0.4505,0.4606,,,0.4,,,,300,8,3096
LogisticRegression,CTGAN,0.6551,0.5632,0.6551,0.5981,0.7323,0.8372,0.403,0.4195,,,0.45,,,,300,8,3096
LogisticRegression,GaussianCopula,0.5663,0.531,0.5663,0.5214,0.6882,0.9612,0.2266,0.2475,,,0.45,,,,300,8,3096
LogisticRegression,TVAE,0.6732,0.6497,0.6732,0.6448,0.7642,1.5156,0.4505,0.4606,,,0.45,,,,300,8,3096
LogisticRegression,CTGAN,0.3585,0.5253,0.3585,0.2525,0.6257,1.1309,0.0511,0.0995,,,0.5,,,,300,8,3096
LogisticRegression,GaussianCopula,0.5683,0.5291,0.5683,0.5279,0.681,0.9562,0.2372,0.2527,,,0.5,,,,300,8,3096
LogisticRegression,TVAE,0.6763,0.6477,0.6763,0.647,0.7789,1.3581,0.4546,0.4641,,,0.5,,,,300,8,3096
LogisticRegression,CTGAN,0.6581,0.597,0.6581,0.5985,0.7626,0.823,0.4045,0.4236,,,0.55,,,,300,8,3096
