Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,CTGAN,0.4774,0.5131,0.4774,0.4859,0.5917,18.8361,0.1927,0.1969,,,0.3,,,,1000.0,10.0,30960
DecisionTree,TVAE,0.616,0.6406,0.616,0.6218,0.6909,13.8421,0.3928,0.3978,,,0.3,,,,1000.0,10.0,30960
DecisionTree,CTGAN,0.4827,0.5118,0.4827,0.4901,0.5912,18.6461,0.1925,0.1957,,,0.3,,,,1000.0,1.0,3096
DecisionTree,TVAE,0.6032,0.6276,0.6032,0.6086,0.68,14.3035,0.3718,0.377,,,0.3,,,,1000.0,1.0,3096
DecisionTree,CTGAN,0.5023,0.5347,0.5023,0.5099,0.6094,17.9404,0.2271,0.2314,,,0.3,,,,1000.0,2.0,6192
DecisionTree,TVAE,0.6039,0.6153,0.6039,0.6067,0.6737,14.2763,0.3664,0.3686,,,0.3,,,,1000.0,2.0,6192
DecisionTree,CTGAN,0.4932,0.517,0.4932,0.4981,0.5984,18.2661,0.2058,0.2092,,,0.3,,,,1000.0,3.0,9288
DecisionTree,TVAE,0.6114,0.6298,0.6114,0.6171,0.6819,14.0049,0.3829,0.3856,,,0.3,,,,1000.0,3.0,9288
DecisionTree,CTGAN,0.5008,0.5241,0.5008,0.506,0.5976,17.9947,0.2127,0.2158,,,0.3,,,,1000.0,5.0,15480
DecisionTree,TVAE,0.5926,0.6198,0.5926,0.6017,0.6714,14.6834,0.3584,0.3616,,,0.3,,,,1000.0,5.0,15480
