Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,CTGAN,0.5444,0.4952,0.5444,0.5016,0.6022,7.3437,0.1913,0.2044,,,0.3,,,,500.0,10.0,30960
KNN,TVAE,0.5783,0.5504,0.5783,0.5494,0.6785,7.2049,0.2894,0.2971,,,0.3,,,,500.0,10.0,30960
KNN,CTGAN,0.5294,0.4848,0.5294,0.4894,0.5936,7.0393,0.1728,0.1807,,,0.3,,,,500.0,1.0,3096
KNN,TVAE,0.5422,0.5145,0.5422,0.5147,0.6351,6.8613,0.2213,0.2266,,,0.3,,,,500.0,1.0,3096
KNN,CTGAN,0.5309,0.4813,0.5309,0.4886,0.5823,6.8991,0.1717,0.1807,,,0.3,,,,500.0,2.0,6192
KNN,TVAE,0.5542,0.521,0.5542,0.528,0.6236,7.9491,0.2412,0.2458,,,0.3,,,,500.0,2.0,6192
KNN,CTGAN,0.4872,0.4439,0.4872,0.4582,0.5718,6.4261,0.1173,0.1202,,,0.3,,,,500.0,3.0,9288
KNN,TVAE,0.5587,0.5235,0.5587,0.5291,0.6446,7.4388,0.2557,0.2621,,,0.3,,,,500.0,3.0,9288
KNN,CTGAN,0.4955,0.4333,0.4955,0.4558,0.5761,6.9366,0.124,0.1286,,,0.3,,,,500.0,5.0,15480
KNN,TVAE,0.5617,0.5254,0.5617,0.5303,0.6542,7.2942,0.2581,0.2651,,,0.3,,,,500.0,5.0,15480
