Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,CTGAN,0.5136,0.4723,0.5136,0.3805,0.675,0.9832,0.051,0.1048,,,0.3,,,,250.0,10.0,30960
LogisticRegression,TVAE,0.6544,0.6402,0.6544,0.6311,0.7829,1.3465,0.4287,0.4404,,,0.3,,,,250.0,10.0,30960
LogisticRegression,CTGAN,0.5294,0.5201,0.5294,0.4132,0.6925,0.9592,0.0835,0.1519,,,0.3,,,,250.0,1.0,3096
LogisticRegression,TVAE,0.6581,0.642,0.6581,0.6396,0.7953,1.2006,0.4369,0.4451,,,0.3,,,,250.0,1.0,3096
LogisticRegression,CTGAN,0.5188,0.5144,0.5188,0.3882,0.6862,0.9737,0.0587,0.1247,,,0.3,,,,250.0,2.0,6192
LogisticRegression,TVAE,0.6657,0.6456,0.6657,0.6404,0.7872,1.2476,0.4443,0.4549,,,0.3,,,,250.0,2.0,6192
LogisticRegression,CTGAN,0.506,0.4334,0.506,0.3686,0.6335,1.0054,0.0322,0.0709,,,0.3,,,,250.0,3.0,9288
LogisticRegression,TVAE,0.6529,0.6334,0.6529,0.6277,0.7832,1.3607,0.4249,0.4362,,,0.3,,,,250.0,3.0,9288
LogisticRegression,CTGAN,0.5075,0.4391,0.5075,0.3742,0.6634,0.9843,0.0382,0.0786,,,0.3,,,,250.0,5.0,15480
LogisticRegression,TVAE,0.6589,0.6443,0.6589,0.6354,0.7751,1.5254,0.4358,0.4474,,,0.3,,,,250.0,5.0,15480
