Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.6498,0.6164,0.6498,0.592,0.7571,0.8233,0.3958,0.4147,,,0.3,,,,300.0,10.0,30960
RandomForest,GaussianCopula,0.6107,0.5433,0.6107,0.5458,0.705,0.9376,0.2908,0.3316,,,0.3,,,,300.0,10.0,30960
RandomForest,TVAE,0.7078,0.6866,0.7078,0.6769,0.8378,1.1349,0.5078,0.5202,,,0.3,,,,300.0,10.0,30960
RandomForest,CTGAN,0.6589,0.5807,0.6589,0.5992,0.742,0.8328,0.4138,0.4344,,,0.3,,,,300.0,1.0,3096
RandomForest,GaussianCopula,0.5836,0.5391,0.5836,0.5281,0.6524,0.971,0.2516,0.2817,,,0.3,,,,300.0,1.0,3096
RandomForest,TVAE,0.7086,0.6707,0.7086,0.6587,0.8392,0.9189,0.502,0.5212,,,0.3,,,,300.0,1.0,3096
RandomForest,CTGAN,0.6355,0.5771,0.6355,0.5805,0.7358,0.8518,0.3756,0.3933,,,0.3,,,,300.0,2.0,6192
RandomForest,GaussianCopula,0.6077,0.5483,0.6077,0.5446,0.695,0.9435,0.2845,0.3252,,,0.3,,,,300.0,2.0,6192
RandomForest,TVAE,0.7252,0.7098,0.7252,0.6918,0.8427,1.1165,0.5346,0.5487,,,0.3,,,,300.0,2.0,6192
RandomForest,CTGAN,0.6536,0.6176,0.6536,0.5948,0.7365,0.8403,0.4058,0.4264,,,0.3,,,,300.0,3.0,9288
RandomForest,GaussianCopula,0.5738,0.5258,0.5738,0.5137,0.6881,0.9469,0.2335,0.2639,,,0.3,,,,300.0,3.0,9288
RandomForest,TVAE,0.7161,0.6925,0.7161,0.6825,0.8414,0.9819,0.5189,0.5317,,,0.3,,,,300.0,3.0,9288
RandomForest,CTGAN,0.6461,0.6069,0.6461,0.587,0.7433,0.8397,0.3878,0.4066,,,0.3,,,,300.0,5.0,15480
RandomForest,GaussianCopula,0.6069,0.552,0.6069,0.5415,0.7069,0.9297,0.2818,0.3262,,,0.3,,,,300.0,5.0,15480
RandomForest,TVAE,0.7026,0.6744,0.7026,0.6693,0.8395,1.1513,0.498,0.5105,,,0.3,,,,300.0,5.0,15480
RandomForest,CTGAN,0.6619,0.574,0.6619,0.602,0.7541,0.8227,0.4115,0.4302,,,0.05,,,,300,8,3096
RandomForest,GaussianCopula,0.6024,0.5467,0.6024,0.5398,0.6863,0.9484,0.2724,0.3134,,,0.05,,,,300,8,3096
RandomForest,TVAE,0.7071,0.6775,0.7071,0.6641,0.8398,0.8725,0.5017,0.5186,,,0.05,,,,300,8,3096
RandomForest,CTGAN,0.6438,0.5567,0.6438,0.5904,0.7251,0.8558,0.3729,0.3909,,,0.1,,,,300,8,3096
RandomForest,GaussianCopula,0.6107,0.5679,0.6107,0.5536,0.6892,0.9424,0.2936,0.3329,,,0.1,,,,300,8,3096
RandomForest,TVAE,0.7063,0.6787,0.7063,0.6625,0.8379,1.0659,0.5008,0.5184,,,0.1,,,,300,8,3096
RandomForest,CTGAN,0.6619,0.6176,0.6619,0.6005,0.7361,0.8321,0.4119,0.432,,,0.15,,,,300,8,3096
RandomForest,GaussianCopula,0.6099,0.5477,0.6099,0.5407,0.7126,0.9268,0.2811,0.3305,,,0.15,,,,300,8,3096
RandomForest,TVAE,0.7026,0.6649,0.7026,0.6544,0.8344,1.0042,0.494,0.5132,,,0.15,,,,300,8,3096
RandomForest,CTGAN,0.6453,0.6003,0.6453,0.5891,0.7164,0.8579,0.3928,0.4123,,,0.2,,,,300,8,3096
RandomForest,GaussianCopula,0.5926,0.5385,0.5926,0.5375,0.6852,0.9462,0.2684,0.2967,,,0.2,,,,300,8,3096
RandomForest,TVAE,0.7123,0.6771,0.7123,0.6685,0.8345,1.0207,0.5097,0.526,,,0.2,,,,300,8,3096
RandomForest,CTGAN,0.628,0.5696,0.628,0.574,0.7344,0.8545,0.3692,0.3898,,,0.25,,,,300,8,3096
RandomForest,GaussianCopula,0.6047,0.5518,0.6047,0.5473,0.6745,0.9552,0.2821,0.3164,,,0.25,,,,300,8,3096
RandomForest,TVAE,0.7048,0.6637,0.7048,0.6603,0.8335,1.0257,0.499,0.5162,,,0.25,,,,300,8,3096
RandomForest,CTGAN,0.6348,0.5674,0.6348,0.5818,0.7264,0.8529,0.3726,0.3883,,,0.3,,,,300,8,3096
RandomForest,GaussianCopula,0.5964,0.5542,0.5964,0.5304,0.6816,0.9484,0.257,0.3058,,,0.3,,,,300,8,3096
