Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.7508,0.7326,0.7508,0.7369,0.8664,0.8081,0.5809,0.5855,3,0.1,0.3,20.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.4548,0.4473,0.4548,0.4487,0.561,1.0453,0.1087,0.1096,3,0.1,0.3,20.0,2.0,0.01,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.4827,0.3877,0.4827,0.3885,0.5692,1.028,0.0237,0.0321,3,0.1,0.3,20.0,2.0,0.01,300,8,3096
RandomForest,TVAE_HYBRID,0.6295,0.6285,0.6295,0.5996,0.7898,1.9682,0.4,0.4313,3,0.1,0.3,20.0,2.0,0.01,300,8,3096
RandomForest,Anonymous,0.7553,0.7311,0.7553,0.7311,0.8621,0.7418,0.5809,0.592,61,1.97,0.3,20.0,2.0,0.02,,,
RandomForest,CTGAN_HYBRID,0.4992,0.2492,0.4992,0.3325,0.4842,1.1847,0.0,0.0,61,1.97,0.3,20.0,2.0,0.02,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.4887,0.4132,0.4887,0.4141,0.6154,0.9977,0.0537,0.0644,61,1.97,0.3,20.0,2.0,0.02,300,8,3096
RandomForest,TVAE_HYBRID,0.622,0.6268,0.622,0.5874,0.7978,1.8317,0.3862,0.4243,61,1.97,0.3,20.0,2.0,0.02,300,8,3096
RandomForest,Anonymous,0.7538,0.7329,0.7538,0.7316,0.8693,0.758,0.5788,0.5894,91,2.94,0.3,20.0,2.0,0.03,,,
RandomForest,CTGAN_HYBRID,0.4526,0.3508,0.4526,0.3864,0.4905,1.0778,-0.0076,-0.0087,91,2.94,0.3,20.0,2.0,0.03,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.509,0.4656,0.509,0.4262,0.6394,0.9819,0.0899,0.1171,91,2.94,0.3,20.0,2.0,0.03,300,8,3096
RandomForest,TVAE_HYBRID,0.5986,0.6082,0.5986,0.5779,0.7662,1.9706,0.3556,0.3791,91,2.94,0.3,20.0,2.0,0.03,300,8,3096
RandomForest,Anonymous,0.7515,0.7314,0.7515,0.7343,0.8699,0.78,0.5788,0.5859,104,3.36,0.3,20.0,2.0,0.04,,,
RandomForest,CTGAN_HYBRID,0.4759,0.3779,0.4759,0.3653,0.5517,1.0326,-0.0015,-0.0023,104,3.36,0.3,20.0,2.0,0.04,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.488,0.3864,0.488,0.3895,0.5806,1.0111,0.0295,0.0407,104,3.36,0.3,20.0,2.0,0.04,300,8,3096
RandomForest,TVAE_HYBRID,0.6077,0.6241,0.6077,0.5874,0.7702,1.9681,0.3733,0.3996,104,3.36,0.3,20.0,2.0,0.04,300,8,3096
RandomForest,Anonymous,0.753,0.7353,0.753,0.738,0.8708,0.8703,0.5826,0.5888,104,3.36,0.3,20.0,2.0,0.05,,,
RandomForest,CTGAN_HYBRID,0.3735,0.4061,0.3735,0.3703,0.5302,1.0852,0.0186,0.0199,104,3.36,0.3,20.0,2.0,0.05,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.4804,0.3895,0.4804,0.3958,0.5723,1.014,0.0287,0.0362,104,3.36,0.3,20.0,2.0,0.05,300,8,3096
RandomForest,TVAE_HYBRID,0.6107,0.6017,0.6107,0.5776,0.754,2.354,0.3665,0.3952,104,3.36,0.3,20.0,2.0,0.05,300,8,3096
RandomForest,Anonymous,0.7523,0.735,0.7523,0.7376,0.8699,0.8958,0.5813,0.5877,104,3.36,0.3,20.0,2.0,0.08,,,
RandomForest,CTGAN_HYBRID,0.4992,0.3947,0.4992,0.3589,0.5411,1.0592,0.0143,0.034,104,3.36,0.3,20.0,2.0,0.08,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.4782,0.3881,0.4782,0.386,0.5713,1.0176,0.0185,0.0245,104,3.36,0.3,20.0,2.0,0.08,300,8,3096
RandomForest,TVAE_HYBRID,0.6242,0.6327,0.6242,0.5938,0.7835,2.1432,0.3895,0.4223,104,3.36,0.3,20.0,2.0,0.08,300,8,3096
RandomForest,Anonymous,0.7538,0.7348,0.7538,0.7386,0.8675,0.8057,0.5843,0.5902,104,3.36,0.3,20.0,2.0,0.1,,,
RandomForest,CTGAN_HYBRID,0.4812,0.3371,0.4812,0.3372,0.454,1.1289,-0.0163,-0.038,104,3.36,0.3,20.0,2.0,0.1,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.5038,0.4057,0.5038,0.408,0.5996,0.9965,0.0619,0.0829,104,3.36,0.3,20.0,2.0,0.1,300,8,3096
RandomForest,TVAE_HYBRID,0.6235,0.6257,0.6235,0.5907,0.7878,2.4594,0.3879,0.422,104,3.36,0.3,20.0,2.0,0.1,300,8,3096
RandomForest,Anonymous,0.7515,0.7319,0.7515,0.7358,0.8707,0.776,0.5803,0.5863,104,3.36,0.3,20.0,2.0,0.2,,,
RandomForest,CTGAN_HYBRID,0.448,0.3835,0.448,0.4087,0.5252,1.0769,0.0645,0.0685,104,3.36,0.3,20.0,2.0,0.2,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.4932,0.4215,0.4932,0.4018,0.5875,1.0042,0.0445,0.059,104,3.36,0.3,20.0,2.0,0.2,300,8,3096
RandomForest,TVAE_HYBRID,0.6182,0.591,0.6182,0.5764,0.7658,2.3341,0.3708,0.4005,104,3.36,0.3,20.0,2.0,0.2,300,8,3096
RandomForest,Anonymous,0.762,0.7474,0.762,0.7485,0.8709,0.8446,0.598,0.6045,104,3.36,0.3,20.0,2.0,0.3,,,
RandomForest,CTGAN_HYBRID,0.3998,0.3681,0.3998,0.3682,0.4762,1.099,-0.0391,-0.0408,104,3.36,0.3,20.0,2.0,0.3,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.4646,0.3594,0.4646,0.3712,0.567,1.0217,-0.0065,-0.0086,104,3.36,0.3,20.0,2.0,0.3,300,8,3096
RandomForest,TVAE_HYBRID,0.6024,0.5722,0.6024,0.5625,0.7579,2.6602,0.3524,0.3835,104,3.36,0.3,20.0,2.0,0.3,300,8,3096
RandomForest,Anonymous,0.753,0.7336,0.753,0.7361,0.8697,0.8027,0.5814,0.5885,104,3.36,0.3,20.0,2.0,0.4,,,
RandomForest,CTGAN_HYBRID,0.4797,0.4433,0.4797,0.4513,0.5727,1.0335,0.1324,0.1372,104,3.36,0.3,20.0,2.0,0.4,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.503,0.4227,0.503,0.3992,0.6091,0.9962,0.0499,0.0736,104,3.36,0.3,20.0,2.0,0.4,300,8,3096
RandomForest,TVAE_HYBRID,0.6273,0.6007,0.6273,0.5891,0.7854,2.3421,0.3897,0.419,104,3.36,0.3,20.0,2.0,0.4,300,8,3096
RandomForest,Anonymous,0.7485,0.7288,0.7485,0.7315,0.8692,0.852,0.5736,0.5808,104,3.36,0.3,20.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.5053,0.4963,0.5053,0.3503,0.6467,1.0152,0.0215,0.0719,104,3.36,0.3,20.0,2.0,0.5,300,8,3096
RandomForest,GaussianCopula_HYBRID,0.4834,0.3932,0.4834,0.3933,0.5829,1.0102,0.0292,0.0381,104,3.36,0.3,20.0,2.0,0.5,300,8,3096
