Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.7417,0.7135,0.7417,0.7053,0.857,0.6375,0.5578,0.5715,60,1.94,0.3,5.0,2.0,0.02,,,
LogisticRegression,CTGAN_HYBRID,0.5008,0.5712,0.5008,0.3358,0.4271,1.0609,0.0035,0.0412,60,1.94,0.3,5.0,2.0,0.02,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.506,0.5024,0.506,0.3695,0.6277,0.9906,0.0483,0.0924,60,1.94,0.3,5.0,2.0,0.02,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6792,0.6519,0.6792,0.6552,0.7991,1.1165,0.4654,0.4733,60,1.94,0.3,5.0,2.0,0.02,300,8,3096
LogisticRegression,Anonymous,0.7395,0.7115,0.7395,0.7167,0.8597,0.6294,0.5569,0.5649,79,2.55,0.3,5.0,2.0,0.03,,,
LogisticRegression,CTGAN_HYBRID,0.3268,0.5036,0.3268,0.1692,0.674,1.0956,0.0064,0.0385,79,2.55,0.3,5.0,2.0,0.03,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5422,0.4941,0.5422,0.4291,0.6868,0.9645,0.1103,0.1928,79,2.55,0.3,5.0,2.0,0.03,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6724,0.6448,0.6724,0.642,0.7861,1.1499,0.4508,0.4623,79,2.55,0.3,5.0,2.0,0.03,300,8,3096
LogisticRegression,Anonymous,0.7395,0.7115,0.7395,0.7167,0.8597,0.6294,0.5569,0.5649,79,2.55,0.3,5.0,2.0,0.04,,,
LogisticRegression,CTGAN_HYBRID,0.3238,0.6029,0.3238,0.1612,0.5377,1.118,0.0027,0.0353,79,2.55,0.3,5.0,2.0,0.04,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5422,0.4941,0.5422,0.4291,0.6868,0.9645,0.1103,0.1928,79,2.55,0.3,5.0,2.0,0.04,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6694,0.6324,0.6694,0.6355,0.7897,1.1631,0.4485,0.4622,79,2.55,0.3,5.0,2.0,0.04,300,8,3096
LogisticRegression,Anonymous,0.7395,0.7115,0.7395,0.7167,0.8597,0.6294,0.5569,0.5649,79,2.55,0.3,5.0,2.0,0.05,,,
LogisticRegression,CTGAN_HYBRID,0.4767,0.3762,0.4767,0.4127,0.5591,1.0618,0.0419,0.0473,79,2.55,0.3,5.0,2.0,0.05,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5422,0.4941,0.5422,0.4291,0.6868,0.9645,0.1103,0.1928,79,2.55,0.3,5.0,2.0,0.05,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6551,0.6281,0.6551,0.6296,0.7896,1.1444,0.4333,0.445,79,2.55,0.3,5.0,2.0,0.05,300,8,3096
LogisticRegression,Anonymous,0.7395,0.7115,0.7395,0.7167,0.8597,0.6294,0.5569,0.5649,79,2.55,0.3,5.0,2.0,0.08,,,
LogisticRegression,CTGAN_HYBRID,0.4977,0.2489,0.4977,0.3318,0.5741,1.0835,-0.0023,-0.0263,79,2.55,0.3,5.0,2.0,0.08,300,8,3096
LogisticRegression,GaussianCopula_HYBRID,0.5422,0.4941,0.5422,0.4291,0.6868,0.9645,0.1103,0.1928,79,2.55,0.3,5.0,2.0,0.08,300,8,3096
LogisticRegression,TVAE_HYBRID,0.6303,0.6382,0.6303,0.6155,0.762,1.4695,0.4021,0.4184,79,2.55,0.3,5.0,2.0,0.08,300,8,3096
LogisticRegression,Anonymous,0.7395,0.7115,0.7395,0.7167,0.8597,0.6294,0.5569,0.5649,79,2.55,0.3,5.0,2.0,0.1,,,
