Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,Anonymous,0.68,0.682,0.68,0.681,0.7312,10.9638,0.4813,0.4813
DecisionTree,CTGAN_HYBRID,0.3554,0.3987,0.3554,0.369,0.5054,23.233,0.0134,0.0137
DecisionTree,GaussianCopula_HYBRID,0.4014,0.4124,0.4014,0.4061,0.5186,21.5773,0.0419,0.042
DecisionTree,Original,0.6747,0.6919,0.6747,0.682,0.7324,11.725,0.481,0.4822
DecisionTree,TVAE_HYBRID,0.5693,0.5745,0.5693,0.5495,0.6503,13.9697,0.3066,0.3246
KNN,Anonymous,0.6898,0.6767,0.6898,0.6815,0.8014,3.5569,0.4846,0.4862
KNN,CTGAN_HYBRID,0.3592,0.4342,0.3592,0.3419,0.5362,4.7658,0.0333,0.0393
KNN,GaussianCopula_HYBRID,0.4465,0.4071,0.4465,0.4191,0.5139,6.3439,0.0443,0.0457
KNN,Original,0.5798,0.5704,0.5798,0.5742,0.703,4.3475,0.306,0.3067
KNN,TVAE_HYBRID,0.5761,0.5687,0.5761,0.5473,0.6756,10.0366,0.3034,0.3208
LogisticRegression,Anonymous,0.738,0.7079,0.738,0.7136,0.8604,0.6241,0.5542,0.5624
LogisticRegression,CTGAN_HYBRID,0.2967,0.2732,0.2967,0.1963,0.4323,1.1213,-0.061,-0.1123
LogisticRegression,GaussianCopula_HYBRID,0.5023,0.3689,0.5023,0.3474,0.6231,0.9923,0.0221,0.0598
LogisticRegression,Original,0.7756,0.7608,0.7756,0.7619,0.879,0.5821,0.6209,0.6275
LogisticRegression,TVAE_HYBRID,0.6438,0.5988,0.6438,0.5983,0.7562,1.7213,0.3919,0.4062
RandomForest,Anonymous,0.7583,0.7392,0.7583,0.7432,0.8691,0.8292,0.5923,0.5979
RandomForest,CTGAN_HYBRID,0.32,0.3428,0.32,0.2921,0.4391,1.1509,-0.0632,-0.075
RandomForest,GaussianCopula_HYBRID,0.5181,0.4526,0.5181,0.4364,0.6337,0.9798,0.0998,0.1258
RandomForest,Original,0.7771,0.7661,0.7771,0.7663,0.8913,0.5977,0.6247,0.6304
RandomForest,TVAE_HYBRID,0.6438,0.6136,0.6438,0.5997,0.7552,3.0275,0.4103,0.4399
