Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.3682,0.3892,0.3682,0.3611,0.5068,22.7716,0.0152,0.0161
DecisionTree,Original,0.6642,0.6856,0.6642,0.673,0.7253,12.105,0.4657,0.4674
DecisionTree,TVAE,0.5851,0.6091,0.5851,0.588,0.6557,14.9549,0.3416,0.3482
KNN,CTGAN,0.3298,0.3631,0.3298,0.2713,0.4938,6.3274,0.0008,0.0011
KNN,Original,0.5798,0.5704,0.5798,0.5742,0.703,4.3475,0.306,0.3067
KNN,TVAE,0.5648,0.5263,0.5648,0.5199,0.6462,8.1832,0.2471,0.2572
LogisticRegression,CTGAN,0.3238,0.3079,0.3238,0.1693,0.5074,1.116,-0.001,-0.0048
LogisticRegression,Original,0.7756,0.7608,0.7756,0.7619,0.879,0.5821,0.6209,0.6275
LogisticRegression,TVAE,0.619,0.593,0.619,0.5993,0.7379,1.9057,0.3635,0.3681
RandomForest,CTGAN,0.3532,0.4412,0.3532,0.2368,0.5259,1.1218,0.0301,0.0719
RandomForest,Original,0.7696,0.7533,0.7696,0.7543,0.888,0.6012,0.6098,0.617
RandomForest,TVAE,0.6619,0.6443,0.6619,0.6246,0.8143,1.4988,0.4403,0.4656
