Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC
DecisionTree,CTGAN,0.5535,0.5554,0.5535,0.5544,0.6218,16.0948,0.2743,0.2743
DecisionTree,Original,0.6724,0.6929,0.6724,0.6808,0.7331,11.8065,0.4791,0.4808
DecisionTree,TVAE,0.6393,0.6391,0.6393,0.6335,0.6917,13.0007,0.4153,0.42
KNN,CTGAN,0.509,0.4965,0.509,0.4992,0.6103,6.485,0.1934,0.1951
KNN,Original,0.5798,0.5704,0.5798,0.5742,0.703,4.3475,0.306,0.3067
KNN,TVAE,0.5625,0.5161,0.5625,0.528,0.6674,6.8425,0.256,0.2628
LogisticRegression,CTGAN,0.686,0.5627,0.686,0.6178,0.7709,0.7913,0.4454,0.4712
LogisticRegression,Original,0.7756,0.7608,0.7756,0.7619,0.879,0.5821,0.6209,0.6275
LogisticRegression,TVAE,0.6702,0.6425,0.6702,0.6472,0.7705,1.573,0.4521,0.4594
RandomForest,CTGAN,0.6506,0.5935,0.6506,0.5942,0.7441,0.8242,0.3909,0.4086
RandomForest,Original,0.7771,0.7635,0.7771,0.7638,0.8875,0.6003,0.6236,0.6299
RandomForest,TVAE,0.6958,0.6682,0.6958,0.6646,0.8414,0.9846,0.4925,0.5066
