epochs,Dataset,Model,F1
20.0,CTGAN,DecisionTree,0.3861666666666667
40.0,CTGAN,DecisionTree,0.3800333333333333
40.0,TVAE,DecisionTree,0.5607333333333333
60.0,CTGAN,DecisionTree,0.3808666666666667
60.0,TVAE,DecisionTree,0.5755
80.0,CTGAN,DecisionTree,0.3671
80.0,TVAE,DecisionTree,0.54345
100.0,CTGAN,DecisionTree,0.33113333333333334
100.0,TVAE,DecisionTree,0.6053333333333334
120.0,CTGAN,DecisionTree,0.388325
120.0,TVAE,DecisionTree,0.577425
150.0,CTGAN,DecisionTree,0.3600666666666667
150.0,TVAE,DecisionTree,0.5725333333333333
200.0,CTGAN,DecisionTree,0.3638333333333333
200.0,TVAE,DecisionTree,0.5931666666666667
250.0,CTGAN,DecisionTree,0.42556000000000005
250.0,TVAE,DecisionTree,0.59758
300.0,CTGAN,DecisionTree,0.5171454545454546
300.0,GaussianCopula,DecisionTree,0.41616363636363635
300.0,TVAE,DecisionTree,0.6228181818181818
400.0,CTGAN,DecisionTree,0.5559333333333333
400.0,TVAE,DecisionTree,0.6171666666666666
500.0,CTGAN,DecisionTree,0.5483399999999999
500.0,TVAE,DecisionTree,0.61334
750.0,CTGAN,DecisionTree,0.5333
750.0,TVAE,DecisionTree,0.6065400000000001
1000.0,CTGAN,DecisionTree,0.5283
1000.0,TVAE,DecisionTree,0.63385
