epochs,Dataset,Model,F1
20.0,CTGAN,KNN,0.34959999999999997
40.0,CTGAN,KNN,0.37600000000000006
40.0,TVAE,KNN,0.4728666666666667
60.0,CTGAN,KNN,0.3667666666666667
60.0,TVAE,KNN,0.5276333333333333
80.0,CTGAN,KNN,0.369675
80.0,TVAE,KNN,0.516225
100.0,CTGAN,KNN,0.28826666666666667
100.0,TVAE,KNN,0.5253666666666666
120.0,CTGAN,KNN,0.407
120.0,TVAE,KNN,0.524525
150.0,CTGAN,KNN,0.33213333333333334
150.0,TVAE,KNN,0.5082
200.0,CTGAN,KNN,0.3237666666666667
200.0,TVAE,KNN,0.5275
250.0,CTGAN,KNN,0.41425999999999996
250.0,TVAE,KNN,0.5307000000000001
300.0,CTGAN,KNN,0.4405636363636363
300.0,GaussianCopula,KNN,0.4253090909090909
300.0,TVAE,KNN,0.5188727272727273
400.0,CTGAN,KNN,0.4774
400.0,TVAE,KNN,0.5361
500.0,CTGAN,KNN,0.49366000000000004
500.0,TVAE,KNN,0.5321
750.0,CTGAN,KNN,0.45830000000000004
750.0,TVAE,KNN,0.52462
1000.0,CTGAN,KNN,0.49820000000000003
1000.0,TVAE,KNN,0.5562
