epochs,Dataset,Model,F1
20.0,CTGAN,LogisticRegression,0.38000000000000006
40.0,CTGAN,LogisticRegression,0.36943333333333334
40.0,TVAE,LogisticRegression,0.5483333333333333
60.0,CTGAN,LogisticRegression,0.3678666666666666
60.0,TVAE,LogisticRegression,0.5731333333333333
80.0,CTGAN,LogisticRegression,0.38565000000000005
80.0,TVAE,LogisticRegression,0.54905
100.0,CTGAN,LogisticRegression,0.1769333333333333
100.0,TVAE,LogisticRegression,0.5674333333333333
120.0,CTGAN,LogisticRegression,0.3426
120.0,TVAE,LogisticRegression,0.586125
150.0,CTGAN,LogisticRegression,0.35523333333333335
150.0,TVAE,LogisticRegression,0.5939666666666666
200.0,CTGAN,LogisticRegression,0.21866666666666668
200.0,TVAE,LogisticRegression,0.6450666666666667
250.0,CTGAN,LogisticRegression,0.5364599999999999
250.0,TVAE,LogisticRegression,0.6472800000000001
300.0,CTGAN,LogisticRegression,0.594609090909091
300.0,GaussianCopula,LogisticRegression,0.5195727272727273
300.0,TVAE,LogisticRegression,0.6806272727272727
400.0,CTGAN,LogisticRegression,0.606
400.0,TVAE,LogisticRegression,0.6757
500.0,CTGAN,LogisticRegression,0.63864
500.0,TVAE,LogisticRegression,0.65032
750.0,CTGAN,LogisticRegression,0.60648
750.0,TVAE,LogisticRegression,0.67088
1000.0,CTGAN,LogisticRegression,0.6193500000000001
1000.0,TVAE,LogisticRegression,0.69275
