epochs,Dataset,Model,F1
20.0,CTGAN,RandomForest,0.4041333333333334
40.0,CTGAN,RandomForest,0.3879333333333333
40.0,TVAE,RandomForest,0.6188
60.0,CTGAN,RandomForest,0.4169333333333333
60.0,TVAE,RandomForest,0.6036666666666667
80.0,CTGAN,RandomForest,0.4174
80.0,TVAE,RandomForest,0.600825
100.0,CTGAN,RandomForest,0.2184
100.0,TVAE,RandomForest,0.5992666666666667
120.0,CTGAN,RandomForest,0.352375
120.0,TVAE,RandomForest,0.64385
150.0,CTGAN,RandomForest,0.36873333333333336
150.0,TVAE,RandomForest,0.6285999999999999
200.0,CTGAN,RandomForest,0.2316
200.0,TVAE,RandomForest,0.6800333333333333
250.0,CTGAN,RandomForest,0.51192
250.0,TVAE,RandomForest,0.6746000000000001
300.0,CTGAN,RandomForest,0.5871818181818181
300.0,GaussianCopula,RandomForest,0.49310000000000004
300.0,TVAE,RandomForest,0.6908727272727272
400.0,CTGAN,RandomForest,0.6043999999999999
400.0,TVAE,RandomForest,0.6937333333333333
500.0,CTGAN,RandomForest,0.6148
500.0,TVAE,RandomForest,0.69166
750.0,CTGAN,RandomForest,0.6304399999999999
750.0,TVAE,RandomForest,0.69322
1000.0,CTGAN,RandomForest,0.6371
1000.0,TVAE,RandomForest,0.7154750000000001
