epochs,Dataset,Model,Precision
20.0,CTGAN,KNN,0.37906666666666666
40.0,CTGAN,KNN,0.38400000000000006
40.0,TVAE,KNN,0.4341333333333333
60.0,CTGAN,KNN,0.37379999999999997
60.0,TVAE,KNN,0.4877666666666667
80.0,CTGAN,KNN,0.39145
80.0,TVAE,KNN,0.51905
100.0,CTGAN,KNN,0.37543333333333334
100.0,TVAE,KNN,0.5335333333333333
120.0,CTGAN,KNN,0.4011
120.0,TVAE,KNN,0.514
150.0,CTGAN,KNN,0.3977
150.0,TVAE,KNN,0.4995
200.0,CTGAN,KNN,0.39949999999999997
200.0,TVAE,KNN,0.5221666666666667
250.0,CTGAN,KNN,0.40518
250.0,TVAE,KNN,0.5233800000000001
300.0,CTGAN,KNN,0.44023636363636365
300.0,GaussianCopula,KNN,0.4137
300.0,TVAE,KNN,0.5122545454545455
400.0,CTGAN,KNN,0.46573333333333333
400.0,TVAE,KNN,0.5283333333333333
500.0,CTGAN,KNN,0.48292
500.0,TVAE,KNN,0.53198
750.0,CTGAN,KNN,0.47388
750.0,TVAE,KNN,0.52396
1000.0,CTGAN,KNN,0.50025
1000.0,TVAE,KNN,0.5493
