epochs,Dataset,Model,Recall
20.0,CTGAN,KNN,0.3562
40.0,CTGAN,KNN,0.38199999999999995
40.0,TVAE,KNN,0.5391666666666667
60.0,CTGAN,KNN,0.3699666666666667
60.0,TVAE,KNN,0.5946333333333333
80.0,CTGAN,KNN,0.373325
80.0,TVAE,KNN,0.564975
100.0,CTGAN,KNN,0.32803333333333334
100.0,TVAE,KNN,0.5768
120.0,CTGAN,KNN,0.419225
120.0,TVAE,KNN,0.565525
150.0,CTGAN,KNN,0.3559333333333334
150.0,TVAE,KNN,0.5427
200.0,CTGAN,KNN,0.36623333333333336
200.0,TVAE,KNN,0.5562333333333334
250.0,CTGAN,KNN,0.4354
250.0,TVAE,KNN,0.55
300.0,CTGAN,KNN,0.49998181818181814
300.0,GaussianCopula,KNN,0.4638090909090909
300.0,TVAE,KNN,0.5466181818181818
400.0,CTGAN,KNN,0.5037666666666666
400.0,TVAE,KNN,0.5595
500.0,CTGAN,KNN,0.5167200000000001
500.0,TVAE,KNN,0.56176
750.0,CTGAN,KNN,0.44758000000000003
750.0,TVAE,KNN,0.55104
1000.0,CTGAN,KNN,0.50695
1000.0,TVAE,KNN,0.570775
