Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6732,0.6875,0.6732,0.6793,0.7309,11.7793,0.4774,0.4783,278,8.98,0.3,10.0,2.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.4661,0.4254,0.4661,0.4273,0.5284,19.2432,0.071,0.0758,278,8.98,0.3,10.0,2.0,0.5,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4134,0.4183,0.4134,0.4157,0.5252,21.1431,0.0539,0.0539,278,8.98,0.3,10.0,2.0,0.5,300,1,3096
DecisionTree,TVAE_HYBRID,0.5708,0.5884,0.5708,0.5782,0.6443,15.4705,0.3119,0.3128,278,8.98,0.3,10.0,2.0,0.5,300,1,3096
DecisionTree,Anonymous,0.6747,0.6874,0.6747,0.6802,0.7309,11.725,0.4793,0.48,187,6.04,0.3,11.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6762,0.6976,0.6762,0.6847,0.7382,11.6708,0.4861,0.488,198,6.4,0.3,12.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6792,0.6946,0.6792,0.6857,0.7366,11.5622,0.4877,0.4887,210,6.78,0.3,13.0,2.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.4541,0.487,0.4541,0.4618,0.5704,19.6774,0.1544,0.1576,210,6.78,0.3,13.0,2.0,0.5,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4556,0.4515,0.4556,0.4528,0.5491,19.6232,0.111,0.1112,210,6.78,0.3,13.0,2.0,0.5,300,1,3096
DecisionTree,TVAE_HYBRID,0.5685,0.5998,0.5685,0.5721,0.6503,15.552,0.3238,0.3317,210,6.78,0.3,13.0,2.0,0.5,300,1,3096
DecisionTree,Anonymous,0.6724,0.6881,0.6724,0.6791,0.7299,11.8065,0.4773,0.4783,210,6.78,0.3,14.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6785,0.6955,0.6785,0.6855,0.7376,11.5893,0.4876,0.4889,210,6.78,0.3,15.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6739,0.6888,0.6739,0.6804,0.7299,11.7522,0.4782,0.4791,225,7.27,0.3,16.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6709,0.6895,0.6709,0.6785,0.7327,11.8608,0.477,0.4785,225,7.27,0.3,17.0,2.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.5098,0.5162,0.5098,0.4985,0.5985,17.669,0.22,0.2284,225,7.27,0.3,17.0,2.0,0.5,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4074,0.4171,0.4074,0.4112,0.5228,21.3602,0.0484,0.0486,225,7.27,0.3,17.0,2.0,0.5,300,1,3096
DecisionTree,TVAE_HYBRID,0.4608,0.516,0.4608,0.4813,0.5798,19.4332,0.1726,0.1762,225,7.27,0.3,17.0,2.0,0.5,300,1,3096
DecisionTree,Anonymous,0.6627,0.6793,0.6627,0.6698,0.7221,12.1593,0.4615,0.4626,242,7.82,0.3,18.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6739,0.6908,0.6739,0.6808,0.7321,11.7522,0.479,0.4802,260,8.4,0.3,19.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6785,0.6947,0.6785,0.6852,0.7349,11.5893,0.4858,0.487,279,9.01,0.3,20.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6822,0.6934,0.6822,0.6871,0.7354,11.4536,0.4895,0.4901,221,7.14,0.3,2.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6837,0.6935,0.6837,0.6881,0.7357,11.3993,0.4922,0.4927,223,7.2,0.3,3.0,2.0,0.5,,,
DecisionTree,Anonymous,0.68,0.6899,0.68,0.6844,0.7325,11.5351,0.4857,0.4861,235,7.59,0.3,4.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6777,0.69,0.6777,0.6831,0.7319,11.6165,0.4837,0.4844,251,8.11,0.3,5.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6717,0.6838,0.6717,0.677,0.7285,11.8336,0.4741,0.4748,251,8.11,0.3,6.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6845,0.6946,0.6845,0.689,0.7365,11.3722,0.4929,0.4934,251,8.11,0.3,7.0,2.0,0.5,,,
DecisionTree,Anonymous,0.677,0.6865,0.677,0.6812,0.7312,11.6436,0.4817,0.4823,279,9.01,0.3,8.0,2.0,0.5,,,
DecisionTree,Anonymous,0.6687,0.6816,0.6687,0.6744,0.7253,11.9422,0.4694,0.4701,278,8.98,0.3,9.0,2.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.4495,0.4621,0.4495,0.4354,0.5556,19.8403,0.1291,0.1373,278,8.98,0.3,9.0,2.0,0.5,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4059,0.4134,0.4059,0.4094,0.5187,21.4145,0.0443,0.0443,278,8.98,0.3,9.0,2.0,0.5,300,1,3096
DecisionTree,TVAE_HYBRID,0.552,0.5415,0.552,0.5465,0.614,16.1491,0.2639,0.2641,278,8.98,0.3,9.0,2.0,0.5,300,1,3096
