Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.5768,0.561,0.5768,0.5658,0.679,5.1878,0.2905,0.2929,278,8.98,0.3,10.0,2.0,1.0,,,
KNN,CTGAN_HYBRID,0.4789,0.4202,0.4789,0.4101,0.539,9.0743,0.0413,0.0499,278,8.98,0.3,10.0,2.0,1.0,300,1,3096
KNN,GaussianCopula_HYBRID,0.4104,0.3948,0.4104,0.4011,0.5003,5.4147,0.0204,0.0205,278,8.98,0.3,10.0,2.0,1.0,300,1,3096
KNN,TVAE_HYBRID,0.5136,0.5057,0.5136,0.5072,0.6414,6.0597,0.2058,0.207,278,8.98,0.3,10.0,2.0,1.0,300,1,3096
KNN,Anonymous,0.5798,0.5607,0.5798,0.566,0.6798,4.9016,0.2909,0.2943,187,6.04,0.3,11.0,2.0,1.0,,,
KNN,CTGAN_HYBRID,0.3901,0.4104,0.3901,0.397,0.5382,5.8547,0.0407,0.0411,187,6.04,0.3,11.0,2.0,1.0,300,1,3096
KNN,GaussianCopula_HYBRID,0.433,0.4155,0.433,0.422,0.5268,4.9977,0.0577,0.0581,187,6.04,0.3,11.0,2.0,1.0,300,1,3096
KNN,TVAE_HYBRID,0.4985,0.498,0.4985,0.4946,0.6244,7.5798,0.1859,0.1876,187,6.04,0.3,11.0,2.0,1.0,300,1,3096
KNN,Anonymous,0.5821,0.5646,0.5821,0.5688,0.6777,5.0319,0.2949,0.2985,198,6.4,0.3,12.0,2.0,1.0,,,
KNN,Anonymous,0.5873,0.5685,0.5873,0.5721,0.678,5.1322,0.3004,0.3051,210,6.78,0.3,13.0,2.0,1.0,,,
KNN,CTGAN_HYBRID,0.4556,0.3986,0.4556,0.3937,0.5195,9.0032,0.0042,0.0049,210,6.78,0.3,13.0,2.0,1.0,300,1,3096
KNN,GaussianCopula_HYBRID,0.4352,0.4134,0.4352,0.4206,0.5249,5.4918,0.0501,0.0506,210,6.78,0.3,13.0,2.0,1.0,300,1,3096
KNN,TVAE_HYBRID,0.57,0.538,0.57,0.5485,0.6594,6.0594,0.2685,0.2724,210,6.78,0.3,13.0,2.0,1.0,300,1,3096
KNN,Anonymous,0.5873,0.5685,0.5873,0.5721,0.678,5.1322,0.3004,0.3051,210,6.78,0.3,14.0,2.0,1.0,,,
KNN,Anonymous,0.5873,0.5685,0.5873,0.5721,0.678,5.1322,0.3004,0.3051,210,6.78,0.3,15.0,2.0,1.0,,,
KNN,CTGAN_HYBRID,0.4684,0.4491,0.4684,0.4544,0.5572,6.8892,0.1155,0.1169,210,6.78,0.3,15.0,2.0,1.0,300,1,3096
KNN,GaussianCopula_HYBRID,0.4352,0.4134,0.4352,0.4206,0.5249,5.4918,0.0501,0.0506,210,6.78,0.3,15.0,2.0,1.0,300,1,3096
