Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.7726,0.7565,0.7726,0.7584,0.8808,0.595,0.6161,0.6222,230,7.43,0.3,10.0,1.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.5467,0.6125,0.5467,0.5691,0.7174,0.9271,0.3093,0.3175,230,7.43,0.3,10.0,1.0,0.5,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5444,0.4827,0.5444,0.4557,0.6364,0.9779,0.1396,0.1844,230,7.43,0.3,10.0,1.0,0.5,300,1,3096
RandomForest,TVAE_HYBRID,0.7229,0.6892,0.7229,0.6897,0.8399,0.7185,0.5341,0.5463,230,7.43,0.3,10.0,1.0,0.5,300,1,3096
RandomForest,Anonymous,0.7696,0.7547,0.7696,0.7557,0.8813,0.6162,0.6106,0.6171,250,8.07,0.3,11.0,1.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.5437,0.4776,0.5437,0.4362,0.6399,1.0054,0.1174,0.1902,250,8.07,0.3,11.0,1.0,0.5,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5881,0.5175,0.5881,0.5089,0.6634,0.9626,0.2291,0.2845,250,8.07,0.3,11.0,1.0,0.5,300,1,3096
RandomForest,TVAE_HYBRID,0.7011,0.6762,0.7011,0.6519,0.8333,0.7523,0.4959,0.5205,250,8.07,0.3,11.0,1.0,0.5,300,1,3096
RandomForest,Anonymous,0.7681,0.7522,0.7681,0.7524,0.8806,0.6208,0.607,0.6143,272,8.79,0.3,12.0,1.0,0.5,,,
RandomForest,Anonymous,0.7726,0.7565,0.7726,0.7577,0.8836,0.617,0.6152,0.6222,197,6.36,0.3,13.0,1.0,0.5,,,
RandomForest,Anonymous,0.7748,0.7591,0.7748,0.7603,0.8842,0.6366,0.6194,0.626,210,6.78,0.3,14.0,1.0,0.5,,,
RandomForest,Anonymous,0.7703,0.7561,0.7703,0.7572,0.881,0.6213,0.6122,0.6186,210,6.78,0.3,15.0,1.0,0.5,,,
RandomForest,Anonymous,0.7741,0.7598,0.7741,0.7605,0.8828,0.5922,0.6183,0.6249,225,7.27,0.3,16.0,1.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.628,0.5692,0.628,0.5736,0.7131,0.896,0.3648,0.3834,225,7.27,0.3,16.0,1.0,0.5,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5617,0.5404,0.5617,0.4789,0.6391,0.9737,0.1747,0.2236,225,7.27,0.3,16.0,1.0,0.5,300,1,3096
RandomForest,TVAE_HYBRID,0.7048,0.6505,0.7048,0.6588,0.8186,0.7934,0.4976,0.5133,225,7.27,0.3,16.0,1.0,0.5,300,1,3096
RandomForest,Anonymous,0.7764,0.7629,0.7764,0.7625,0.8811,0.5949,0.6214,0.6287,225,7.27,0.3,17.0,1.0,0.5,,,
RandomForest,Anonymous,0.7741,0.76,0.7741,0.761,0.8814,0.6214,0.6186,0.625,242,7.82,0.3,18.0,1.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.5858,0.5076,0.5858,0.5345,0.6857,0.964,0.3048,0.3261,242,7.82,0.3,18.0,1.0,0.5,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5602,0.4954,0.5602,0.4758,0.6358,0.98,0.1696,0.2229,242,7.82,0.3,18.0,1.0,0.5,300,1,3096
RandomForest,TVAE_HYBRID,0.6845,0.6437,0.6845,0.6443,0.8202,0.8225,0.4735,0.4931,242,7.82,0.3,18.0,1.0,0.5,300,1,3096
RandomForest,Anonymous,0.7718,0.7559,0.7718,0.7529,0.8818,0.6192,0.6105,0.6209,260,8.4,0.3,19.0,1.0,0.5,,,
RandomForest,Anonymous,0.7651,0.7469,0.7651,0.748,0.8846,0.6129,0.6019,0.6091,279,9.01,0.3,20.0,1.0,0.5,,,
RandomForest,Anonymous,0.7718,0.7571,0.7718,0.7561,0.883,0.6156,0.6126,0.6208,124,4.01,0.3,2.0,1.0,0.5,,,
