Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.5776,0.5597,0.5776,0.5656,0.6811,5.1332,0.2909,0.2933,230,7.43,0.3,10.0,1.0,0.2,,,
KNN,Anonymous,0.5776,0.5595,0.5776,0.5656,0.6766,5.1413,0.2908,0.2931,250,8.07,0.3,11.0,1.0,0.2,,,
KNN,Anonymous,0.5828,0.5683,0.5828,0.572,0.6768,5.2165,0.2998,0.3026,272,8.79,0.3,12.0,1.0,0.2,,,
KNN,CTGAN_HYBRID,0.4676,0.4046,0.4676,0.376,0.4991,11.1039,-0.0082,-0.0113,272,8.79,0.3,12.0,1.0,0.2,300,1,3096
KNN,GaussianCopula_HYBRID,0.4495,0.4231,0.4495,0.4287,0.5382,5.3887,0.0576,0.0592,272,8.79,0.3,12.0,1.0,0.2,300,1,3096
KNN,TVAE_HYBRID,0.5384,0.5067,0.5384,0.5142,0.6267,6.84,0.2205,0.2245,272,8.79,0.3,12.0,1.0,0.2,300,1,3096
KNN,Anonymous,0.5873,0.5688,0.5873,0.5722,0.6778,5.1073,0.3005,0.3052,197,6.36,0.3,13.0,1.0,0.2,,,
KNN,Anonymous,0.5873,0.5685,0.5873,0.5721,0.678,5.1322,0.3004,0.3051,210,6.78,0.3,14.0,1.0,0.2,,,
KNN,CTGAN_HYBRID,0.4819,0.4263,0.4819,0.4364,0.5318,9.0332,0.0775,0.0827,210,6.78,0.3,14.0,1.0,0.2,300,1,3096
KNN,GaussianCopula_HYBRID,0.4352,0.4134,0.4352,0.4206,0.5249,5.4918,0.0501,0.0506,210,6.78,0.3,14.0,1.0,0.2,300,1,3096
KNN,TVAE_HYBRID,0.5053,0.5105,0.5053,0.5009,0.6372,6.3806,0.2088,0.2124,210,6.78,0.3,14.0,1.0,0.2,300,1,3096
KNN,Anonymous,0.5873,0.5685,0.5873,0.5721,0.678,5.1322,0.3004,0.3051,210,6.78,0.3,15.0,1.0,0.2,,,
KNN,Anonymous,0.5866,0.5689,0.5866,0.5723,0.6749,5.3167,0.3004,0.3047,225,7.27,0.3,16.0,1.0,0.2,,,
KNN,CTGAN_HYBRID,0.4623,0.4068,0.4623,0.407,0.5489,9.2714,0.0344,0.0389,225,7.27,0.3,16.0,1.0,0.2,300,1,3096
KNN,GaussianCopula_HYBRID,0.4345,0.4136,0.4345,0.4206,0.5317,5.7877,0.0442,0.0447,225,7.27,0.3,16.0,1.0,0.2,300,1,3096
KNN,TVAE_HYBRID,0.5045,0.4977,0.5045,0.4986,0.6328,6.6123,0.1894,0.1905,225,7.27,0.3,16.0,1.0,0.2,300,1,3096
KNN,Anonymous,0.5866,0.5689,0.5866,0.5723,0.6749,5.3167,0.3004,0.3047,225,7.27,0.3,17.0,1.0,0.2,,,
KNN,CTGAN_HYBRID,0.4684,0.4156,0.4684,0.4051,0.5466,9.1285,0.0276,0.0327,225,7.27,0.3,17.0,1.0,0.2,300,1,3096
KNN,GaussianCopula_HYBRID,0.4345,0.4136,0.4345,0.4206,0.5317,5.7877,0.0442,0.0447,225,7.27,0.3,17.0,1.0,0.2,300,1,3096
KNN,TVAE_HYBRID,0.5226,0.506,0.5226,0.5133,0.6344,7.1543,0.2089,0.2094,225,7.27,0.3,17.0,1.0,0.2,300,1,3096
KNN,Anonymous,0.5843,0.5725,0.5843,0.5748,0.6755,5.1657,0.304,0.3067,242,7.82,0.3,18.0,1.0,0.2,,,
