Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.7244,0.7031,0.7244,0.7062,0.8022,1.0397,0.5319,0.5391,278,8.98,0.3,10.0,2.0,1.0,,,
LogisticRegression,CTGAN_HYBRID,0.5858,0.5203,0.5858,0.5162,0.6761,1.3342,0.2333,0.2744,278,8.98,0.3,10.0,2.0,1.0,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5098,0.4264,0.5098,0.3755,0.6075,1.0551,0.0609,0.1067,278,8.98,0.3,10.0,2.0,1.0,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6303,0.6452,0.6303,0.6346,0.7598,1.7657,0.4099,0.4123,278,8.98,0.3,10.0,2.0,1.0,300,1,3096
LogisticRegression,Anonymous,0.7402,0.7167,0.7402,0.7175,0.8165,0.9559,0.5566,0.5659,187,6.04,0.3,11.0,2.0,1.0,,,
LogisticRegression,CTGAN_HYBRID,0.3833,0.5051,0.3833,0.339,0.6419,1.2765,0.0819,0.1088,187,6.04,0.3,11.0,2.0,1.0,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5211,0.5353,0.5211,0.4235,0.6324,1.0092,0.1208,0.1611,187,6.04,0.3,11.0,2.0,1.0,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6574,0.6191,0.6574,0.631,0.7599,1.7616,0.4283,0.4349,187,6.04,0.3,11.0,2.0,1.0,300,1,3096
LogisticRegression,Anonymous,0.741,0.7188,0.741,0.7195,0.8166,0.9517,0.5584,0.5673,198,6.4,0.3,12.0,2.0,1.0,,,
LogisticRegression,Anonymous,0.741,0.7183,0.741,0.7199,0.8167,0.9496,0.5591,0.5674,210,6.78,0.3,13.0,2.0,1.0,,,
LogisticRegression,CTGAN_HYBRID,0.5565,0.457,0.5565,0.4904,0.5394,1.1913,0.19,0.2136,210,6.78,0.3,13.0,2.0,1.0,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5203,0.5382,0.5203,0.4232,0.6117,1.278,0.1119,0.1532,210,6.78,0.3,13.0,2.0,1.0,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6724,0.6178,0.6724,0.6261,0.7594,1.7135,0.4321,0.4468,210,6.78,0.3,13.0,2.0,1.0,300,1,3096
LogisticRegression,Anonymous,0.741,0.7183,0.741,0.7199,0.8167,0.9496,0.5591,0.5674,210,6.78,0.3,14.0,2.0,1.0,,,
LogisticRegression,Anonymous,0.741,0.7183,0.741,0.7199,0.8167,0.9496,0.5591,0.5674,210,6.78,0.3,15.0,2.0,1.0,,,
LogisticRegression,CTGAN_HYBRID,0.5919,0.5273,0.5919,0.5412,0.6984,1.1899,0.3234,0.3533,210,6.78,0.3,15.0,2.0,1.0,300,1,3096
