Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.7696,0.7527,0.7696,0.7541,0.8812,0.5936,0.6102,0.6169,278,8.98,0.3,10.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.5166,0.5182,0.5166,0.3831,0.6421,0.9858,0.0495,0.1156,278,8.98,0.3,10.0,2.0,0.5,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5392,0.4974,0.5392,0.4507,0.6158,0.9874,0.1267,0.1736,278,8.98,0.3,10.0,2.0,0.5,300,1,3096
RandomForest,TVAE_HYBRID,0.7131,0.6607,0.7131,0.6743,0.8375,0.7158,0.5148,0.5265,278,8.98,0.3,10.0,2.0,0.5,300,1,3096
RandomForest,Anonymous,0.7673,0.7506,0.7673,0.7508,0.8846,0.5891,0.6052,0.613,187,6.04,0.3,11.0,2.0,0.5,,,
RandomForest,Anonymous,0.7688,0.7511,0.7688,0.7521,0.8799,0.5965,0.608,0.6156,198,6.4,0.3,12.0,2.0,0.5,,,
RandomForest,Anonymous,0.7771,0.7625,0.7771,0.7623,0.8856,0.5906,0.6227,0.6298,210,6.78,0.3,13.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.5813,0.5542,0.5813,0.5452,0.7246,0.9135,0.3108,0.3304,210,6.78,0.3,13.0,2.0,0.5,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5572,0.4971,0.5572,0.4783,0.6606,0.9611,0.1747,0.219,210,6.78,0.3,13.0,2.0,0.5,300,1,3096
RandomForest,TVAE_HYBRID,0.7071,0.6757,0.7071,0.6723,0.8343,0.7814,0.511,0.5271,210,6.78,0.3,13.0,2.0,0.5,300,1,3096
RandomForest,Anonymous,0.7666,0.751,0.7666,0.7516,0.8832,0.6636,0.6045,0.6119,210,6.78,0.3,14.0,2.0,0.5,,,
RandomForest,Anonymous,0.7756,0.7613,0.7756,0.7599,0.8816,0.5967,0.619,0.6273,210,6.78,0.3,15.0,2.0,0.5,,,
RandomForest,Anonymous,0.7786,0.7668,0.7786,0.7674,0.886,0.6356,0.6273,0.6329,225,7.27,0.3,16.0,2.0,0.5,,,
RandomForest,Anonymous,0.7696,0.7532,0.7696,0.7545,0.8851,0.589,0.6104,0.617,225,7.27,0.3,17.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.6175,0.5575,0.6175,0.5655,0.7013,0.9125,0.3404,0.355,225,7.27,0.3,17.0,2.0,0.5,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5497,0.4582,0.5497,0.4608,0.6286,0.981,0.1492,0.1962,225,7.27,0.3,17.0,2.0,0.5,300,1,3096
RandomForest,TVAE_HYBRID,0.6995,0.6743,0.6995,0.6831,0.8206,0.7441,0.5039,0.5074,225,7.27,0.3,17.0,2.0,0.5,300,1,3096
RandomForest,Anonymous,0.7771,0.763,0.7771,0.7633,0.8826,0.6201,0.6231,0.63,242,7.82,0.3,18.0,2.0,0.5,,,
RandomForest,Anonymous,0.7681,0.7507,0.7681,0.7515,0.882,0.6417,0.607,0.6143,260,8.4,0.3,19.0,2.0,0.5,,,
RandomForest,Anonymous,0.7673,0.7527,0.7673,0.7544,0.879,0.5996,0.6078,0.6134,279,9.01,0.3,20.0,2.0,0.5,,,
RandomForest,Anonymous,0.7696,0.7547,0.7696,0.7552,0.881,0.5966,0.6102,0.617,221,7.14,0.3,2.0,2.0,0.5,,,
RandomForest,Anonymous,0.7658,0.7514,0.7658,0.7525,0.8834,0.5922,0.6046,0.6107,223,7.2,0.3,3.0,2.0,0.5,,,
RandomForest,Anonymous,0.7688,0.7522,0.7688,0.7534,0.8832,0.5912,0.6088,0.6157,235,7.59,0.3,4.0,2.0,0.5,,,
RandomForest,Anonymous,0.7681,0.7505,0.7681,0.7517,0.8836,0.5937,0.6066,0.6144,251,8.11,0.3,5.0,2.0,0.5,,,
RandomForest,Anonymous,0.7628,0.7439,0.7628,0.745,0.8821,0.6186,0.5971,0.6052,251,8.11,0.3,6.0,2.0,0.5,,,
RandomForest,Anonymous,0.7636,0.7453,0.7636,0.7484,0.8824,0.5973,0.6007,0.6068,251,8.11,0.3,7.0,2.0,0.5,,,
RandomForest,Anonymous,0.7711,0.7553,0.7711,0.7545,0.8838,0.6145,0.6111,0.6195,279,9.01,0.3,8.0,2.0,0.5,,,
RandomForest,Anonymous,0.7696,0.7527,0.7696,0.7517,0.8824,0.6416,0.6085,0.6168,278,8.98,0.3,9.0,2.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.6325,0.5197,0.6325,0.5706,0.6813,0.949,0.3568,0.3755,278,8.98,0.3,9.0,2.0,0.5,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5474,0.5139,0.5474,0.4581,0.6287,0.9791,0.1433,0.1971,278,8.98,0.3,9.0,2.0,0.5,300,1,3096
RandomForest,TVAE_HYBRID,0.7146,0.6582,0.7146,0.6563,0.8327,0.7241,0.5103,0.5325,278,8.98,0.3,9.0,2.0,0.5,300,1,3096
