Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.677,0.6993,0.677,0.686,0.7368,11.6436,0.4864,0.4883,25,0.81,0.3,10.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.4586,0.4531,0.4586,0.4553,0.5508,19.5146,0.1167,0.1168,25,0.81,0.3,10.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.427,0.4312,0.427,0.4289,0.5347,20.6545,0.0745,0.0745,25,0.81,0.3,10.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.5693,0.6353,0.5693,0.5803,0.664,15.5248,0.341,0.3544,25,0.81,0.3,10.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.6717,0.6919,0.6717,0.6801,0.7315,11.8336,0.4777,0.4793,25,0.81,0.3,11.0,1.0,0.01,,,
DecisionTree,Anonymous,0.6619,0.6832,0.6619,0.6708,0.7238,12.1864,0.4629,0.4646,25,0.81,0.3,12.0,1.0,0.01,,,
DecisionTree,Anonymous,0.6935,0.6996,0.6935,0.6964,0.7412,11.0465,0.5056,0.5058,25,0.81,0.3,13.0,1.0,0.01,,,
DecisionTree,Anonymous,0.6762,0.6867,0.6762,0.6804,0.7288,11.6708,0.4777,0.4784,28,0.9,0.3,14.0,1.0,0.01,,,
DecisionTree,Anonymous,0.6785,0.6844,0.6785,0.6809,0.7286,11.5893,0.4793,0.4797,28,0.9,0.3,15.0,1.0,0.01,,,
DecisionTree,Anonymous,0.6785,0.6835,0.6785,0.6805,0.7283,11.5893,0.4787,0.479,28,0.9,0.3,16.0,1.0,0.01,,,
DecisionTree,Anonymous,0.677,0.6883,0.677,0.6816,0.7327,11.6436,0.4805,0.4814,28,0.9,0.3,17.0,1.0,0.01,,,
DecisionTree,Anonymous,0.6792,0.6862,0.6792,0.6821,0.7299,11.5622,0.4812,0.4816,28,0.9,0.3,18.0,1.0,0.01,,,
DecisionTree,Anonymous,0.6807,0.6886,0.6807,0.6837,0.73,11.5079,0.483,0.4837,28,0.9,0.3,19.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.497,0.512,0.497,0.5008,0.5829,18.1304,0.1818,0.1831,28,0.9,0.3,19.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4239,0.4303,0.4239,0.4269,0.5297,20.7631,0.0715,0.0715,28,0.9,0.3,19.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.5693,0.6214,0.5693,0.5798,0.6636,15.5248,0.3369,0.3466,28,0.9,0.3,19.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.6822,0.6887,0.6822,0.685,0.7325,11.4536,0.4865,0.4868,28,0.9,0.3,20.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.5068,0.48,0.5068,0.4881,0.5705,17.7776,0.1603,0.1627,28,0.9,0.3,20.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.448,0.4507,0.448,0.4493,0.546,19.8946,0.106,0.106,28,0.9,0.3,20.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.4977,0.594,0.4977,0.4944,0.618,18.1033,0.2455,0.2699,28,0.9,0.3,20.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.6958,0.7066,0.6958,0.7005,0.7472,10.9651,0.512,0.5126,28,0.9,0.3,2.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.4006,0.4093,0.4006,0.3804,0.5191,21.6045,0.0446,0.0488,28,0.9,0.3,2.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4322,0.4481,0.4322,0.4387,0.5478,20.4645,0.1007,0.1012,28,0.9,0.3,2.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.5904,0.6242,0.5904,0.599,0.6686,14.7649,0.361,0.3668,28,0.9,0.3,2.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.7011,0.709,0.7011,0.7046,0.7494,10.7751,0.5191,0.5194,29,0.94,0.3,3.0,1.0,0.01,,,
DecisionTree,Anonymous,0.692,0.6998,0.692,0.6955,0.7408,11.1008,0.5035,0.5039,30,0.97,0.3,4.0,1.0,0.01,,,
DecisionTree,Anonymous,0.7011,0.7131,0.7011,0.7062,0.7526,10.7751,0.5208,0.5216,29,0.94,0.3,5.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.4488,0.4558,0.4488,0.4464,0.5538,19.8674,0.1185,0.1205,29,0.94,0.3,5.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4134,0.4197,0.4134,0.4164,0.5242,21.1431,0.0547,0.0547,29,0.94,0.3,5.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.5196,0.6219,0.5196,0.5281,0.6407,17.3162,0.2849,0.3058,29,0.94,0.3,5.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.692,0.7014,0.692,0.6962,0.7426,11.1008,0.5046,0.505,28,0.9,0.3,6.0,1.0,0.01,,,
DecisionTree,Anonymous,0.6792,0.6865,0.6792,0.6824,0.729,11.5622,0.4818,0.4821,27,0.87,0.3,7.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.3328,0.3479,0.3328,0.33,0.4752,24.0472,-0.0451,-0.0467,27,0.87,0.3,7.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4209,0.4162,0.4209,0.4184,0.5228,20.8717,0.0525,0.0525,27,0.87,0.3,7.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.6047,0.6391,0.6047,0.6179,0.6816,14.2492,0.3801,0.3833,27,0.87,0.3,7.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.6928,0.6999,0.6928,0.6961,0.7419,11.0737,0.5049,0.5052,24,0.78,0.3,8.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.4285,0.4218,0.4285,0.4174,0.5193,20.6003,0.0518,0.0529,24,0.78,0.3,8.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.427,0.4133,0.427,0.4192,0.5209,20.6545,0.0492,0.0493,24,0.78,0.3,8.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.5843,0.6455,0.5843,0.6033,0.6785,14.982,0.3633,0.3717,24,0.78,0.3,8.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.6574,0.6807,0.6574,0.6667,0.7233,12.3493,0.4577,0.4598,25,0.81,0.3,9.0,1.0,0.01,,,
