Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.5768,0.561,0.5768,0.5658,0.679,5.1878,0.2905,0.2929,278,8.98,0.3,10.0,2.0,0.2,,,
KNN,Anonymous,0.5798,0.5607,0.5798,0.566,0.6798,4.9016,0.2909,0.2943,187,6.04,0.3,11.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.497,0.4457,0.497,0.4462,0.5582,9.5113,0.0921,0.1012,187,6.04,0.3,11.0,2.0,0.2,300,1,3096
KNN,GaussianCopula_HYBRID,0.433,0.4155,0.433,0.422,0.5268,4.9977,0.0577,0.0581,187,6.04,0.3,11.0,2.0,0.2,300,1,3096
KNN,TVAE_HYBRID,0.4834,0.5055,0.4834,0.4868,0.6361,6.6165,0.187,0.1905,187,6.04,0.3,11.0,2.0,0.2,300,1,3096
KNN,Anonymous,0.5821,0.5646,0.5821,0.5688,0.6777,5.0319,0.2949,0.2985,198,6.4,0.3,12.0,2.0,0.2,,,
KNN,Anonymous,0.5873,0.5685,0.5873,0.5721,0.678,5.1322,0.3004,0.3051,210,6.78,0.3,13.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.427,0.4016,0.427,0.4101,0.5321,6.6267,0.0284,0.0289,210,6.78,0.3,13.0,2.0,0.2,300,1,3096
KNN,GaussianCopula_HYBRID,0.4352,0.4134,0.4352,0.4206,0.5249,5.4918,0.0501,0.0506,210,6.78,0.3,13.0,2.0,0.2,300,1,3096
KNN,TVAE_HYBRID,0.5309,0.523,0.5309,0.5211,0.6428,6.1516,0.232,0.2351,210,6.78,0.3,13.0,2.0,0.2,300,1,3096
KNN,Anonymous,0.5873,0.5685,0.5873,0.5721,0.678,5.1322,0.3004,0.3051,210,6.78,0.3,14.0,2.0,0.2,,,
KNN,Anonymous,0.5873,0.5685,0.5873,0.5721,0.678,5.1322,0.3004,0.3051,210,6.78,0.3,15.0,2.0,0.2,,,
KNN,Anonymous,0.5866,0.5689,0.5866,0.5723,0.6749,5.3167,0.3004,0.3047,225,7.27,0.3,16.0,2.0,0.2,,,
KNN,Anonymous,0.5866,0.5689,0.5866,0.5723,0.6749,5.3167,0.3004,0.3047,225,7.27,0.3,17.0,2.0,0.2,,,
KNN,Anonymous,0.5843,0.5725,0.5843,0.5748,0.6755,5.1657,0.304,0.3067,242,7.82,0.3,18.0,2.0,0.2,,,
