Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.7229,0.7035,0.7229,0.7075,0.8038,1.0255,0.5319,0.5374,230,7.43,0.3,10.0,1.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5986,0.5793,0.5986,0.586,0.6769,1.3049,0.3262,0.3288,230,7.43,0.3,10.0,1.0,0.5,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5512,0.4957,0.5512,0.4698,0.6224,1.118,0.1674,0.2104,230,7.43,0.3,10.0,1.0,0.5,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6664,0.6445,0.6664,0.652,0.7347,2.0068,0.4408,0.4436,230,7.43,0.3,10.0,1.0,0.5,300,1,3096
LogisticRegression,Anonymous,0.7252,0.7049,0.7252,0.709,0.8024,1.0473,0.5354,0.5411,250,8.07,0.3,11.0,1.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5587,0.4964,0.5587,0.477,0.6578,1.2015,0.1679,0.2181,250,8.07,0.3,11.0,1.0,0.5,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5301,0.4595,0.5301,0.4427,0.5899,1.2173,0.1267,0.1615,250,8.07,0.3,11.0,1.0,0.5,300,1,3096
LogisticRegression,TVAE_HYBRID,0.634,0.6015,0.634,0.613,0.7326,1.9337,0.389,0.3931,250,8.07,0.3,11.0,1.0,0.5,300,1,3096
LogisticRegression,Anonymous,0.7236,0.703,0.7236,0.7072,0.8014,1.0503,0.5328,0.5384,272,8.79,0.3,12.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.7372,0.7157,0.7372,0.7197,0.8168,0.9438,0.5558,0.5617,197,6.36,0.3,13.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.741,0.7183,0.741,0.7199,0.8167,0.9496,0.5591,0.5674,210,6.78,0.3,14.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.741,0.7183,0.741,0.7199,0.8167,0.9496,0.5591,0.5674,210,6.78,0.3,15.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.7402,0.7178,0.7402,0.719,0.8174,0.9318,0.5574,0.566,225,7.27,0.3,16.0,1.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5625,0.5387,0.5625,0.5225,0.6899,1.2722,0.287,0.3146,225,7.27,0.3,16.0,1.0,0.5,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5663,0.5008,0.5663,0.4734,0.6811,0.9947,0.1772,0.2445,225,7.27,0.3,16.0,1.0,0.5,300,1,3096
LogisticRegression,TVAE_HYBRID,0.68,0.6449,0.68,0.6471,0.7775,1.8478,0.461,0.472,225,7.27,0.3,16.0,1.0,0.5,300,1,3096
LogisticRegression,Anonymous,0.7402,0.7178,0.7402,0.719,0.8174,0.9318,0.5574,0.566,225,7.27,0.3,17.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.7334,0.7065,0.7334,0.7081,0.8141,0.9283,0.5447,0.5543,242,7.82,0.3,18.0,1.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.4172,0.4137,0.4172,0.368,0.5822,1.3625,0.0757,0.0962,242,7.82,0.3,18.0,1.0,0.5,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5392,0.4874,0.5392,0.4349,0.6552,0.9972,0.1182,0.1795,242,7.82,0.3,18.0,1.0,0.5,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6446,0.6037,0.6446,0.6101,0.7508,1.7336,0.4009,0.4113,242,7.82,0.3,18.0,1.0,0.5,300,1,3096
LogisticRegression,Anonymous,0.7236,0.6965,0.7236,0.6967,0.7995,1.0682,0.5262,0.5369,260,8.4,0.3,19.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.7176,0.6903,0.7176,0.6907,0.7891,1.1394,0.5155,0.5262,279,9.01,0.3,20.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.7492,0.728,0.7492,0.7325,0.8403,0.855,0.5774,0.5826,124,4.01,0.3,2.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.7455,0.7254,0.7455,0.7306,0.8406,0.8901,0.5723,0.5766,155,5.01,0.3,3.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.7417,0.7216,0.7417,0.7276,0.8347,0.9195,0.5668,0.5706,200,6.46,0.3,4.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.7372,0.7146,0.7372,0.7214,0.8315,0.952,0.5592,0.5631,234,7.56,0.3,5.0,1.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5911,0.5589,0.5911,0.5532,0.6865,1.1338,0.2737,0.2942,234,7.56,0.3,5.0,1.0,0.5,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5836,0.5341,0.5836,0.5056,0.6984,0.9597,0.2196,0.2766,234,7.56,0.3,5.0,1.0,0.5,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6905,0.6686,0.6905,0.6715,0.7894,1.7379,0.4867,0.4929,234,7.56,0.3,5.0,1.0,0.5,300,1,3096
LogisticRegression,Anonymous,0.7462,0.7251,0.7462,0.7294,0.8362,0.9085,0.573,0.578,284,9.17,0.3,6.0,1.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5881,0.5722,0.5881,0.5701,0.6837,1.0922,0.33,0.3379,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5655,0.546,0.5655,0.4923,0.6885,0.9853,0.1917,0.2436,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6837,0.6492,0.6837,0.6477,0.7746,1.5027,0.4697,0.4843,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
LogisticRegression,Anonymous,0.744,0.7184,0.744,0.7192,0.84,0.8529,0.5644,0.5732,202,6.52,0.3,7.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.744,0.715,0.744,0.7118,0.839,0.8665,0.563,0.5746,237,7.66,0.3,8.0,1.0,0.5,,,
LogisticRegression,Anonymous,0.7252,0.7058,0.7252,0.7098,0.8053,1.0189,0.5358,0.5412,221,7.14,0.3,9.0,1.0,0.5,,,
