Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.7771,0.7641,0.7771,0.7633,0.8843,0.5918,0.6225,0.63,30,0.97,0.3,10.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.6303,0.5268,0.6303,0.5604,0.6903,0.8977,0.3226,0.3651,30,0.97,0.3,10.0,2.0,0.01,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5068,0.4161,0.5068,0.4171,0.6311,0.9827,0.075,0.097,30,0.97,0.3,10.0,2.0,0.01,300,1,3096
RandomForest,TVAE_HYBRID,0.6536,0.6536,0.6536,0.6373,0.8117,0.8054,0.4421,0.4577,30,0.97,0.3,10.0,2.0,0.01,300,1,3096
RandomForest,Anonymous,0.7711,0.755,0.7711,0.754,0.8818,0.5934,0.6112,0.6194,30,0.97,0.3,11.0,2.0,0.01,,,
RandomForest,Anonymous,0.7741,0.7599,0.7741,0.7609,0.8826,0.5913,0.6188,0.6248,30,0.97,0.3,12.0,2.0,0.01,,,
RandomForest,Anonymous,0.7756,0.7627,0.7756,0.7627,0.8834,0.6142,0.6209,0.6275,30,0.97,0.3,13.0,2.0,0.01,,,
RandomForest,Anonymous,0.7741,0.759,0.7741,0.7596,0.8844,0.5909,0.6179,0.6247,28,0.9,0.3,14.0,2.0,0.01,,,
RandomForest,CTGAN_HYBRID,0.6295,0.5761,0.6295,0.5944,0.7047,0.9129,0.3662,0.374,28,0.9,0.3,14.0,2.0,0.01,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5392,0.4723,0.5392,0.4603,0.6299,0.9809,0.1392,0.1719,28,0.9,0.3,14.0,2.0,0.01,300,1,3096
RandomForest,TVAE_HYBRID,0.6559,0.6508,0.6559,0.6341,0.7936,0.9636,0.4406,0.4592,28,0.9,0.3,14.0,2.0,0.01,300,1,3096
RandomForest,Anonymous,0.7718,0.7555,0.7718,0.7567,0.8819,0.6189,0.614,0.6208,28,0.9,0.3,15.0,2.0,0.01,,,
RandomForest,Anonymous,0.7839,0.7722,0.7839,0.7701,0.8849,0.5875,0.6339,0.6415,28,0.9,0.3,16.0,2.0,0.01,,,
