Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,CTGAN,0.6559,0.5414,0.6559,0.5876,0.7245,0.9107,0.379,0.413,,,0.3,,,,300.0,10.0,30960
RandomForest,GaussianCopula,0.5768,0.5502,0.5768,0.4998,0.6767,0.9582,0.2168,0.2722,,,0.3,,,,300.0,10.0,30960
RandomForest,TVAE,0.7191,0.7064,0.7191,0.7056,0.8458,0.8364,0.5342,0.5391,,,0.3,,,,300.0,10.0,30960
RandomForest,CTGAN,0.6551,0.5467,0.6551,0.5847,0.726,0.886,0.3705,0.4146,,,0.3,,,,300.0,2.0,6192
RandomForest,GaussianCopula,0.552,0.5168,0.552,0.4639,0.6374,0.9814,0.1656,0.2172,,,0.3,,,,300.0,2.0,6192
RandomForest,TVAE,0.7041,0.6861,0.7041,0.6841,0.8404,0.8426,0.5077,0.5155,,,0.3,,,,300.0,2.0,6192
RandomForest,CTGAN,0.6521,0.5366,0.6521,0.583,0.7172,0.8947,0.3717,0.4057,,,0.3,,,,300.0,3.0,9288
RandomForest,GaussianCopula,0.5813,0.5535,0.5813,0.5102,0.681,0.9509,0.2302,0.2805,,,0.3,,,,300.0,3.0,9288
RandomForest,TVAE,0.7161,0.7002,0.7161,0.6975,0.8443,0.885,0.5267,0.5338,,,0.3,,,,300.0,3.0,9288
RandomForest,CTGAN,0.6559,0.5804,0.6559,0.6001,0.7382,0.8334,0.398,0.4158,,,0.3,,,,300.0,5.0,15480
RandomForest,GaussianCopula,0.5354,0.5106,0.5354,0.4339,0.6618,0.9679,0.1372,0.1866,,,0.3,,,,300.0,5.0,15480
RandomForest,TVAE,0.7078,0.6929,0.7078,0.692,0.841,0.8918,0.5156,0.5217,,,0.3,,,,300.0,5.0,15480
RandomForest,CTGAN,0.6642,0.5583,0.6642,0.5932,0.74,0.8727,0.3855,0.4345,,,0.05,,,,300,1,3096
RandomForest,GaussianCopula,0.5535,0.5098,0.5535,0.486,0.6665,0.959,0.1928,0.2248,,,0.05,,,,300,1,3096
RandomForest,TVAE,0.7003,0.6918,0.7003,0.6843,0.835,0.8626,0.5038,0.512,,,0.05,,,,300,1,3096
RandomForest,CTGAN,0.6438,0.5339,0.6438,0.5745,0.7093,0.9211,0.3519,0.3906,,,0.15,,,,300,1,3096
RandomForest,GaussianCopula,0.57,0.5318,0.57,0.4997,0.686,0.9474,0.2208,0.26,,,0.15,,,,300,1,3096
RandomForest,TVAE,0.7003,0.6912,0.7003,0.6856,0.8433,0.8451,0.5045,0.5117,,,0.15,,,,300,1,3096
RandomForest,CTGAN,0.6649,0.5445,0.6649,0.597,0.7453,0.9465,0.4027,0.4302,,,0.2,,,,300,1,3096
RandomForest,GaussianCopula,0.564,0.5147,0.564,0.5038,0.6603,0.9625,0.2157,0.244,,,0.2,,,,300,1,3096
RandomForest,TVAE,0.7123,0.6921,0.7123,0.6889,0.8369,0.909,0.5183,0.5269,,,0.2,,,,300,1,3096
RandomForest,CTGAN,0.6498,0.5398,0.6498,0.5804,0.7219,0.8933,0.3629,0.4027,,,0.25,,,,300,1,3096
RandomForest,GaussianCopula,0.5806,0.5272,0.5806,0.521,0.6465,0.9729,0.2422,0.2735,,,0.25,,,,300,1,3096
RandomForest,TVAE,0.7078,0.7003,0.7078,0.6937,0.8424,0.8494,0.5173,0.5246,,,0.25,,,,300,1,3096
RandomForest,CTGAN,0.6551,0.5461,0.6551,0.584,0.7304,0.8913,0.37,0.4149,,,0.3,,,,300,1,3096
RandomForest,GaussianCopula,0.5625,0.5062,0.5625,0.4986,0.6667,0.9595,0.2084,0.2383,,,0.3,,,,300,1,3096
RandomForest,TVAE,0.7011,0.6893,0.7011,0.6856,0.8387,0.8525,0.5051,0.5119,,,0.3,,,,300,1,3096
RandomForest,CTGAN,0.6649,0.5556,0.6649,0.5946,0.7391,0.8788,0.3894,0.4339,,,0.35,,,,300,1,3096
RandomForest,GaussianCopula,0.573,0.5362,0.573,0.5072,0.6599,0.962,0.224,0.2628,,,0.35,,,,300,1,3096
RandomForest,TVAE,0.7063,0.6958,0.7063,0.6904,0.8394,0.7821,0.5142,0.5219,,,0.35,,,,300,1,3096
RandomForest,CTGAN,0.6498,0.5414,0.6498,0.5799,0.7161,0.9247,0.3613,0.4035,,,0.55,,,,300,1,3096
RandomForest,GaussianCopula,0.5595,0.4983,0.5595,0.5,0.65,0.9693,0.2075,0.2319,,,0.55,,,,300,1,3096
RandomForest,TVAE,0.7078,0.6968,0.7078,0.6919,0.847,0.7444,0.5156,0.5228,,,0.55,,,,300,1,3096
