Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6792,0.6865,0.6792,0.6824,0.729,11.5622,0.4818,0.4821,27,0.87,0.3,7.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.3328,0.3479,0.3328,0.33,0.4752,24.0472,-0.0451,-0.0467,27,0.87,0.3,7.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4209,0.4162,0.4209,0.4184,0.5228,20.8717,0.0525,0.0525,27,0.87,0.3,7.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.6047,0.6391,0.6047,0.6179,0.6816,14.2492,0.3801,0.3833,27,0.87,0.3,7.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.6732,0.6866,0.6732,0.679,0.7288,11.7793,0.4759,0.4767,202,6.52,0.3,7.0,1.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.3087,0.3581,0.3087,0.3123,0.4896,24.9157,-0.0153,-0.0164,202,6.52,0.3,7.0,1.0,0.2,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.3998,0.4152,0.3998,0.4061,0.5177,21.6316,0.044,0.0442,202,6.52,0.3,7.0,1.0,0.2,300,1,3096
DecisionTree,TVAE_HYBRID,0.6077,0.62,0.6077,0.6035,0.6697,14.1406,0.3739,0.3821,202,6.52,0.3,7.0,1.0,0.2,300,1,3096
DecisionTree,Anonymous,0.6807,0.6898,0.6807,0.6848,0.7317,11.5079,0.4857,0.4861,202,6.52,0.3,7.0,1.0,0.5,,,
DecisionTree,Anonymous,0.68,0.6907,0.68,0.6848,0.733,11.5351,0.4863,0.4868,202,6.52,0.3,7.0,1.0,1.0,,,
DecisionTree,CTGAN_HYBRID,0.4887,0.5401,0.4887,0.4964,0.6098,18.4289,0.2155,0.2239,202,6.52,0.3,7.0,1.0,1.0,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4014,0.4168,0.4014,0.4076,0.5189,21.5773,0.0466,0.0468,202,6.52,0.3,7.0,1.0,1.0,300,1,3096
DecisionTree,TVAE_HYBRID,0.5753,0.6022,0.5753,0.5756,0.6548,15.3077,0.3294,0.3388,202,6.52,0.3,7.0,1.0,1.0,300,1,3096
