Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6303,0.6124,0.6303,0.6179,0.7233,4.4145,0.379,0.3822,28,0.9,0.3,6.0,1.0,0.01,,,
KNN,Anonymous,0.5715,0.5522,0.5715,0.5581,0.6754,5.4766,0.2781,0.2809,284,9.17,0.3,6.0,1.0,0.2,,,
KNN,CTGAN_HYBRID,0.4623,0.4271,0.4623,0.4354,0.5466,6.9763,0.0703,0.0723,284,9.17,0.3,6.0,1.0,0.2,300,1,3096
KNN,GaussianCopula_HYBRID,0.4014,0.3801,0.4014,0.3888,0.5143,4.9404,-0.0028,-0.0028,284,9.17,0.3,6.0,1.0,0.2,300,1,3096
KNN,TVAE_HYBRID,0.5294,0.4796,0.5294,0.4876,0.6179,8.0457,0.1674,0.1771,284,9.17,0.3,6.0,1.0,0.2,300,1,3096
KNN,Anonymous,0.5715,0.5522,0.5715,0.5581,0.6754,5.4766,0.2781,0.2809,284,9.17,0.3,6.0,1.0,0.5,,,
KNN,CTGAN_HYBRID,0.3916,0.4424,0.3916,0.3756,0.5597,6.4419,0.0764,0.0858,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
KNN,GaussianCopula_HYBRID,0.4014,0.3801,0.4014,0.3888,0.5143,4.9404,-0.0028,-0.0028,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
KNN,TVAE_HYBRID,0.5286,0.4886,0.5286,0.5027,0.6339,6.9037,0.1951,0.1985,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
KNN,Anonymous,0.5715,0.5522,0.5715,0.5581,0.6754,5.4766,0.2781,0.2809,284,9.17,0.3,6.0,1.0,1.0,,,
