Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.7357,0.7247,0.7357,0.7263,0.853,0.6696,0.566,0.569,29,0.94,0.3,6.0,2.0,0.01,,,
LogisticRegression,CTGAN_HYBRID,0.5361,0.482,0.5361,0.4887,0.5503,1.0347,0.1719,0.1843,29,0.94,0.3,6.0,2.0,0.01,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.6258,0.5992,0.6258,0.5483,0.7643,0.8868,0.2948,0.3816,29,0.94,0.3,6.0,2.0,0.01,300,1,3096
LogisticRegression,TVAE_HYBRID,0.5881,0.6044,0.5881,0.5486,0.7571,1.7499,0.336,0.3862,29,0.94,0.3,6.0,2.0,0.01,300,1,3096
LogisticRegression,Anonymous,0.741,0.7147,0.741,0.7124,0.8342,0.9299,0.5598,0.5698,251,8.11,0.3,6.0,2.0,0.2,,,
LogisticRegression,Anonymous,0.741,0.7147,0.741,0.7124,0.8342,0.9299,0.5598,0.5698,251,8.11,0.3,6.0,2.0,0.5,,,
LogisticRegression,Anonymous,0.741,0.7147,0.741,0.7124,0.8342,0.9299,0.5598,0.5698,251,8.11,0.3,6.0,2.0,1.0,,,
LogisticRegression,CTGAN_HYBRID,0.363,0.4706,0.363,0.293,0.6101,1.3529,0.0445,0.0694,251,8.11,0.3,6.0,2.0,1.0,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5354,0.497,0.5354,0.45,0.6811,0.9676,0.1258,0.1678,251,8.11,0.3,6.0,2.0,1.0,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6852,0.6654,0.6852,0.6507,0.7945,1.2447,0.4747,0.4923,251,8.11,0.3,6.0,2.0,1.0,300,1,3096
