Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.6807,0.6886,0.6807,0.6837,0.73,11.5079,0.483,0.4837,28,0.9,0.3,19.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.497,0.512,0.497,0.5008,0.5829,18.1304,0.1818,0.1831,28,0.9,0.3,19.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4239,0.4303,0.4239,0.4269,0.5297,20.7631,0.0715,0.0715,28,0.9,0.3,19.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.5693,0.6214,0.5693,0.5798,0.6636,15.5248,0.3369,0.3466,28,0.9,0.3,19.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.6732,0.6877,0.6732,0.6794,0.7294,11.7793,0.4766,0.4776,260,8.4,0.3,19.0,1.0,0.2,,,
DecisionTree,CTGAN_HYBRID,0.4315,0.498,0.4315,0.4464,0.5784,20.4917,0.1516,0.1587,260,8.4,0.3,19.0,1.0,0.2,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.3735,0.388,0.3735,0.38,0.4967,22.5816,0.0011,0.0011,260,8.4,0.3,19.0,1.0,0.2,300,1,3096
DecisionTree,TVAE_HYBRID,0.5836,0.6394,0.5836,0.5992,0.674,15.0091,0.3599,0.3683,260,8.4,0.3,19.0,1.0,0.2,300,1,3096
DecisionTree,Anonymous,0.6611,0.678,0.6611,0.6683,0.7208,12.2136,0.459,0.4601,260,8.4,0.3,19.0,1.0,0.5,,,
DecisionTree,Anonymous,0.6672,0.6879,0.6672,0.6756,0.7303,11.9965,0.4717,0.4735,260,8.4,0.3,19.0,1.0,1.0,,,
DecisionTree,CTGAN_HYBRID,0.5271,0.4698,0.5271,0.4861,0.5677,17.0447,0.1679,0.176,260,8.4,0.3,19.0,1.0,1.0,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.3886,0.395,0.3886,0.3913,0.4999,22.0387,0.0122,0.0122,260,8.4,0.3,19.0,1.0,1.0,300,1,3096
DecisionTree,TVAE_HYBRID,0.5474,0.5948,0.5474,0.5583,0.6404,16.3119,0.2967,0.3042,260,8.4,0.3,19.0,1.0,1.0,300,1,3096
