Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6348,0.6239,0.6348,0.6267,0.7229,4.0364,0.3911,0.3934,27,0.87,0.3,8.0,2.0,0.01,,,
KNN,CTGAN_HYBRID,0.3682,0.4192,0.3682,0.3594,0.5367,5.3014,0.0544,0.0595,27,0.87,0.3,8.0,2.0,0.01,300,1,3096
KNN,GaussianCopula_HYBRID,0.4066,0.4009,0.4066,0.3965,0.5125,5.0123,0.0213,0.0218,27,0.87,0.3,8.0,2.0,0.01,300,1,3096
KNN,TVAE_HYBRID,0.5655,0.5596,0.5655,0.5566,0.6942,5.2279,0.2941,0.2981,27,0.87,0.3,8.0,2.0,0.01,300,1,3096
KNN,Anonymous,0.5715,0.5488,0.5715,0.5562,0.6677,5.452,0.2759,0.279,279,9.01,0.3,8.0,2.0,0.2,,,
KNN,CTGAN_HYBRID,0.3983,0.4343,0.3983,0.3825,0.5551,5.641,0.0574,0.0644,279,9.01,0.3,8.0,2.0,0.2,300,1,3096
KNN,GaussianCopula_HYBRID,0.4541,0.4341,0.4541,0.4396,0.5548,4.9983,0.077,0.0779,279,9.01,0.3,8.0,2.0,0.2,300,1,3096
KNN,TVAE_HYBRID,0.5173,0.5043,0.5173,0.5039,0.6315,6.6518,0.2087,0.2123,279,9.01,0.3,8.0,2.0,0.2,300,1,3096
KNN,Anonymous,0.5715,0.5488,0.5715,0.5562,0.6677,5.452,0.2759,0.279,279,9.01,0.3,8.0,2.0,0.5,,,
KNN,Anonymous,0.5715,0.5488,0.5715,0.5562,0.6677,5.452,0.2759,0.279,279,9.01,0.3,8.0,2.0,1.0,,,
KNN,CTGAN_HYBRID,0.4526,0.3709,0.4526,0.3788,0.5076,12.3877,-0.0141,-0.017,279,9.01,0.3,8.0,2.0,1.0,300,1,3096
KNN,GaussianCopula_HYBRID,0.4541,0.4341,0.4541,0.4396,0.5548,4.9983,0.077,0.0779,279,9.01,0.3,8.0,2.0,1.0,300,1,3096
KNN,TVAE_HYBRID,0.5256,0.5257,0.5256,0.5201,0.6422,6.2897,0.2332,0.2363,279,9.01,0.3,8.0,2.0,1.0,300,1,3096
