Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
LogisticRegression,Anonymous,0.759,0.7371,0.759,0.7371,0.8771,0.588,0.5881,0.5986,28,0.9,0.3,16.0,1.0,0.01,,,
LogisticRegression,Anonymous,0.7402,0.7178,0.7402,0.719,0.8174,0.9318,0.5574,0.566,225,7.27,0.3,16.0,1.0,0.2,,,
LogisticRegression,CTGAN_HYBRID,0.6047,0.6092,0.6047,0.5916,0.7044,1.173,0.3253,0.3359,225,7.27,0.3,16.0,1.0,0.2,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5663,0.5008,0.5663,0.4734,0.6811,0.9947,0.1772,0.2445,225,7.27,0.3,16.0,1.0,0.2,300,1,3096
LogisticRegression,TVAE_HYBRID,0.6679,0.6313,0.6679,0.6343,0.7622,1.5504,0.4398,0.4505,225,7.27,0.3,16.0,1.0,0.2,300,1,3096
LogisticRegression,Anonymous,0.7402,0.7178,0.7402,0.719,0.8174,0.9318,0.5574,0.566,225,7.27,0.3,16.0,1.0,0.5,,,
LogisticRegression,CTGAN_HYBRID,0.5625,0.5387,0.5625,0.5225,0.6899,1.2722,0.287,0.3146,225,7.27,0.3,16.0,1.0,0.5,300,1,3096
LogisticRegression,GaussianCopula_HYBRID,0.5663,0.5008,0.5663,0.4734,0.6811,0.9947,0.1772,0.2445,225,7.27,0.3,16.0,1.0,0.5,300,1,3096
LogisticRegression,TVAE_HYBRID,0.68,0.6449,0.68,0.6471,0.7775,1.8478,0.461,0.472,225,7.27,0.3,16.0,1.0,0.5,300,1,3096
LogisticRegression,Anonymous,0.7402,0.7178,0.7402,0.719,0.8174,0.9318,0.5574,0.566,225,7.27,0.3,16.0,1.0,1.0,,,
