Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
RandomForest,Anonymous,0.7786,0.766,0.7786,0.7656,0.8861,0.6087,0.6259,0.6326,28,0.9,0.3,6.0,1.0,0.01,,,
RandomForest,Anonymous,0.7718,0.7552,0.7718,0.7563,0.8833,0.6133,0.6136,0.6209,284,9.17,0.3,6.0,1.0,0.2,,,
RandomForest,CTGAN_HYBRID,0.5023,0.4743,0.5023,0.4574,0.6469,1.0131,0.1927,0.2234,284,9.17,0.3,6.0,1.0,0.2,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5331,0.4752,0.5331,0.4496,0.6202,0.9848,0.1226,0.1548,284,9.17,0.3,6.0,1.0,0.2,300,1,3096
RandomForest,TVAE_HYBRID,0.7176,0.6691,0.7176,0.6686,0.8337,0.7087,0.5161,0.5335,284,9.17,0.3,6.0,1.0,0.2,300,1,3096
RandomForest,Anonymous,0.7741,0.7596,0.7741,0.7596,0.8856,0.5869,0.6174,0.6248,284,9.17,0.3,6.0,1.0,0.5,,,
RandomForest,CTGAN_HYBRID,0.5279,0.5109,0.5279,0.4976,0.6729,0.9609,0.2423,0.2588,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
RandomForest,GaussianCopula_HYBRID,0.5361,0.4679,0.5361,0.4601,0.6201,0.9869,0.1377,0.1647,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
RandomForest,TVAE_HYBRID,0.6822,0.6548,0.6822,0.6391,0.8144,0.7905,0.4675,0.4902,284,9.17,0.3,6.0,1.0,0.5,300,1,3096
RandomForest,Anonymous,0.7703,0.7519,0.7703,0.7521,0.8811,0.5957,0.6097,0.6181,284,9.17,0.3,6.0,1.0,1.0,,,
