Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
DecisionTree,Anonymous,0.7011,0.7131,0.7011,0.7062,0.7526,10.7751,0.5208,0.5216,29,0.94,0.3,5.0,1.0,0.01,,,
DecisionTree,CTGAN_HYBRID,0.4488,0.4558,0.4488,0.4464,0.5538,19.8674,0.1185,0.1205,29,0.94,0.3,5.0,1.0,0.01,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4134,0.4197,0.4134,0.4164,0.5242,21.1431,0.0547,0.0547,29,0.94,0.3,5.0,1.0,0.01,300,1,3096
DecisionTree,TVAE_HYBRID,0.5196,0.6219,0.5196,0.5281,0.6407,17.3162,0.2849,0.3058,29,0.94,0.3,5.0,1.0,0.01,300,1,3096
DecisionTree,Anonymous,0.6822,0.696,0.6822,0.6881,0.7377,11.4536,0.4915,0.4924,234,7.56,0.3,5.0,1.0,0.2,,,
DecisionTree,Anonymous,0.6709,0.6867,0.6709,0.6778,0.7276,11.8608,0.4742,0.4751,234,7.56,0.3,5.0,1.0,0.5,,,
DecisionTree,CTGAN_HYBRID,0.4548,0.4882,0.4548,0.4582,0.5564,19.6503,0.1222,0.1253,234,7.56,0.3,5.0,1.0,0.5,300,1,3096
DecisionTree,GaussianCopula_HYBRID,0.4014,0.3983,0.4014,0.3997,0.5107,21.5773,0.0217,0.0218,234,7.56,0.3,5.0,1.0,0.5,300,1,3096
DecisionTree,TVAE_HYBRID,0.5858,0.5918,0.5858,0.5877,0.6552,14.9277,0.3338,0.3346,234,7.56,0.3,5.0,1.0,0.5,300,1,3096
DecisionTree,Anonymous,0.6747,0.6864,0.6747,0.68,0.7279,11.725,0.478,0.4786,234,7.56,0.3,5.0,1.0,1.0,,,
