Model,Dataset,Accuracy,Precision,Recall,F1,AUC-ROC,LogLoss,CohenKappa,MCC,suppressed_records,suppression_percentage,test_size,k_anonymity,l_diversity,suppression_limit,epochs,row_multiplier,rows_generated_at_runtime
KNN,Anonymous,0.6288,0.6121,0.6288,0.6179,0.7198,3.9634,0.379,0.3812,30,0.97,0.3,10.0,2.0,0.01,,,
KNN,CTGAN_HYBRID,0.497,0.4579,0.497,0.4722,0.5752,4.9729,0.1393,0.1419,30,0.97,0.3,10.0,2.0,0.01,300,1,3096
KNN,GaussianCopula_HYBRID,0.4292,0.4213,0.4292,0.4245,0.5316,5.1327,0.0582,0.0583,30,0.97,0.3,10.0,2.0,0.01,300,1,3096
KNN,TVAE_HYBRID,0.5926,0.576,0.5926,0.5751,0.7041,5.3032,0.3282,0.3341,30,0.97,0.3,10.0,2.0,0.01,300,1,3096
KNN,Anonymous,0.5768,0.561,0.5768,0.5658,0.679,5.1878,0.2905,0.2929,278,8.98,0.3,10.0,2.0,0.2,,,
KNN,Anonymous,0.5768,0.561,0.5768,0.5658,0.679,5.1878,0.2905,0.2929,278,8.98,0.3,10.0,2.0,0.5,,,
KNN,CTGAN_HYBRID,0.4714,0.4216,0.4714,0.4148,0.534,7.9202,0.0577,0.0655,278,8.98,0.3,10.0,2.0,0.5,300,1,3096
KNN,GaussianCopula_HYBRID,0.4104,0.3948,0.4104,0.4011,0.5003,5.4147,0.0204,0.0205,278,8.98,0.3,10.0,2.0,0.5,300,1,3096
KNN,TVAE_HYBRID,0.4849,0.4673,0.4849,0.4721,0.6054,7.4963,0.1434,0.1448,278,8.98,0.3,10.0,2.0,0.5,300,1,3096
KNN,Anonymous,0.5768,0.561,0.5768,0.5658,0.679,5.1878,0.2905,0.2929,278,8.98,0.3,10.0,2.0,1.0,,,
KNN,CTGAN_HYBRID,0.4789,0.4202,0.4789,0.4101,0.539,9.0743,0.0413,0.0499,278,8.98,0.3,10.0,2.0,1.0,300,1,3096
KNN,GaussianCopula_HYBRID,0.4104,0.3948,0.4104,0.4011,0.5003,5.4147,0.0204,0.0205,278,8.98,0.3,10.0,2.0,1.0,300,1,3096
KNN,TVAE_HYBRID,0.5136,0.5057,0.5136,0.5072,0.6414,6.0597,0.2058,0.207,278,8.98,0.3,10.0,2.0,1.0,300,1,3096
